Date	;	Measurement	;	EED	;	ReSiE
01.01.2014 00:00	;	9.6975	;	13.35000038	;	12.35383025
01.01.2014 01:00	;	9.78875	;	13.35000038	;	12.20637008
01.01.2014 02:00	;	9.32625	;	11.79156017	;	11.29255406
01.01.2014 03:00	;	9.2275	;	11.83914471	;	11.30935175
01.01.2014 04:00	;	8.96375	;	11.27412987	;	10.80970603
01.01.2014 05:00	;	9.02125	;	11.60951996	;	11.11834874
01.01.2014 06:00	;	8.88625	;	11.26093292	;	10.8386357
01.01.2014 07:00	;	8.65	;	10.63351917	;	10.2490868
01.01.2014 08:00	;	8.585	;	11.0138073	;	10.59823071
01.01.2014 09:00	;	8.95625	;	11.45428276	;	11.02561979
01.01.2014 10:00	;	9.00125	;	11.26142025	;	10.90662097
01.01.2014 11:00	;	9.18	;	11.38945389	;	11.01823528
01.01.2014 12:00	;	9.03875	;	11.18860054	;	10.8551407
01.01.2014 13:00	;	9.26875	;	11.59965897	;	11.17113842
01.01.2014 14:00	;	9.625	;	12.11706448	;	11.83825116
01.01.2014 15:00	;	9.73625	;	11.84038448	;	11.4516679
01.01.2014 16:00	;	9.6975	;	11.89646244	;	11.50721169
01.01.2014 17:00	;	9.35125	;	11.10696125	;	10.81890379
01.01.2014 18:00	;	9.17	;	11.22172642	;	10.88337149
01.01.2014 19:00	;	9.17375	;	11.17037106	;	10.84707915
01.01.2014 20:00	;	9.3125	;	11.44098568	;	11.07739648
01.01.2014 21:00	;	9.175	;	11.06941414	;	10.78298888
01.01.2014 22:00	;	9.2025	;	11.16019344	;	10.84924688
01.01.2014 23:00	;	9.31375	;	11.38157558	;	11.03919894
02.01.2014 00:00	;	9.5725	;	11.68011093	;	11.34395889
02.01.2014 01:00	;	9.80125	;	11.89962196	;	11.62288607
02.01.2014 02:00	;	9.8325	;	11.84874821	;	11.53481591
02.01.2014 03:00	;	9.75625	;	11.71126556	;	11.34797425
02.01.2014 04:00	;	9.075	;	10.53753185	;	10.3073979
02.01.2014 05:00	;	9.4375	;	11.20055771	;	10.85863775
02.01.2014 06:00	;	9.3875	;	11.13546181	;	10.84615622
02.01.2014 07:00	;	9.18375	;	10.64978313	;	10.4071105
02.01.2014 08:00	;	9.19375	;	10.88957882	;	10.60976119
02.01.2014 09:00	;	9.33625	;	11.13374901	;	10.83913601
02.01.2014 10:00	;	9.59875	;	11.41243172	;	11.08334275
02.01.2014 11:00	;	9.70375	;	11.49481392	;	11.18168439
02.01.2014 12:00	;	9.7525	;	11.46525383	;	11.14332901
02.01.2014 13:00	;	9.84875	;	11.53724861	;	11.2109894
02.01.2014 14:00	;	9.8375	;	11.67536926	;	11.3835468
02.01.2014 15:00	;	9.8325	;	11.57482338	;	11.24066171
02.01.2014 16:00	;	9.82875	;	11.46778202	;	11.17129676
02.01.2014 17:00	;	9.645	;	11.2596035	;	10.99673916
02.01.2014 18:00	;	9.31125	;	10.80314732	;	10.57147565
02.01.2014 19:00	;	9.33125	;	10.97304726	;	10.70524195
02.01.2014 20:00	;	9.315	;	10.87076759	;	10.62786555
02.01.2014 21:00	;	9.0875	;	10.65333271	;	10.42980056
02.01.2014 22:00	;	9.0075	;	10.57439327	;	10.35182064
02.01.2014 23:00	;	9.02375	;	10.76106644	;	10.52524549
03.01.2014 00:00	;	9.3675	;	11.1410656	;	10.83898412
03.01.2014 01:00	;	9.43625	;	11.0168047	;	10.79417868
03.01.2014 02:00	;	9.495	;	11.17780495	;	10.91017671
03.01.2014 03:00	;	9.5425	;	11.22580147	;	10.95902874
03.01.2014 04:00	;	9.07625	;	10.32405758	;	10.16624846
03.01.2014 05:00	;	8.80375	;	10.17862034	;	9.985061231
03.01.2014 06:00	;	8.59	;	9.841330528	;	9.665187537
03.01.2014 07:00	;	8.44375	;	9.751568794	;	9.577505123
03.01.2014 08:00	;	8.7175	;	10.4854269	;	10.26607043
03.01.2014 09:00	;	9.06625	;	10.88232327	;	10.62369904
03.01.2014 10:00	;	9.1975	;	10.90121651	;	10.70153974
03.01.2014 11:00	;	9.2825	;	10.97577286	;	10.76623186
03.01.2014 12:00	;	9.40125	;	11.17422485	;	10.94538205
03.01.2014 13:00	;	9.73875	;	11.55230331	;	11.42378467
03.01.2014 14:00	;	10	;	11.7749052	;	11.68752368
03.01.2014 15:00	;	10.05	;	11.62816715	;	11.45274762
03.01.2014 16:00	;	9.99	;	11.5762701	;	11.35557664
03.01.2014 17:00	;	10.24375	;	11.95302105	;	11.83925554
03.01.2014 18:00	;	10.1425	;	11.6526432	;	11.41817054
03.01.2014 19:00	;	9.5025	;	10.47397709	;	10.3245516
03.01.2014 20:00	;	9.30875	;	10.73721027	;	10.50890013
03.01.2014 21:00	;	9.32875	;	10.76468277	;	10.55174841
03.01.2014 22:00	;	9.14375	;	10.36312771	;	10.19200896
03.01.2014 23:00	;	9.30125	;	10.85847759	;	10.62118048
04.01.2014 00:00	;	9.5075	;	10.95036411	;	10.73288081
04.01.2014 01:00	;	9.6075	;	11.15506458	;	10.89326749
04.01.2014 02:00	;	9.72625	;	11.36752224	;	11.16122422
04.01.2014 03:00	;	9.7025	;	11.19443512	;	10.97181292
04.01.2014 04:00	;	9.7125	;	11.28151226	;	11.0175411
04.01.2014 05:00	;	9.3075	;	10.27074718	;	10.14341903
04.01.2014 06:00	;	9.09375	;	10.3574152	;	10.17540315
04.01.2014 07:00	;	8.86	;	9.956276894	;	9.807979252
04.01.2014 08:00	;	8.6275	;	9.783036232	;	9.636338094
04.01.2014 09:00	;	8.4775	;	9.607978821	;	9.47526559
04.01.2014 10:00	;	8.56125	;	9.903676987	;	9.761640133
04.01.2014 11:00	;	9.0025	;	10.61408901	;	10.3919574
04.01.2014 12:00	;	9.41875	;	11.06104851	;	10.94166371
04.01.2014 13:00	;	9.66625	;	11.18204021	;	11.06362302
04.01.2014 14:00	;	9.82125	;	11.20841408	;	11.0576695
04.01.2014 15:00	;	10.00375	;	11.54024792	;	11.46437704
04.01.2014 16:00	;	10	;	11.30526447	;	11.12017172
04.01.2014 17:00	;	9.94625	;	11.31166935	;	11.10398553
04.01.2014 18:00	;	9.95375	;	11.26478672	;	11.03048385
04.01.2014 19:00	;	10.055	;	11.46158886	;	11.28079333
04.01.2014 20:00	;	9.88125	;	11.04435539	;	10.87963817
04.01.2014 21:00	;	9.8725	;	11.1588726	;	10.92961578
04.01.2014 22:00	;	9.885	;	11.30445004	;	11.06855777
04.01.2014 23:00	;	9.91	;	11.31255054	;	11.0758476
05.01.2014 00:00	;	9.895	;	11.22179031	;	10.99337793
05.01.2014 01:00	;	9.885	;	11.13467884	;	10.92732893
05.01.2014 02:00	;	10.03375	;	11.44897079	;	11.24797488
05.01.2014 03:00	;	10.04375	;	11.38910294	;	11.16352241
05.01.2014 04:00	;	9.97125	;	11.17545605	;	10.9733311
05.01.2014 05:00	;	9.8825	;	11.07864952	;	10.87957312
05.01.2014 06:00	;	9.84125	;	11.06357193	;	10.85726329
05.01.2014 07:00	;	9.70125	;	10.74620533	;	10.58334521
05.01.2014 08:00	;	9.53375	;	10.71444035	;	10.53888876
05.01.2014 09:00	;	9.46375	;	10.61700821	;	10.45245843
05.01.2014 10:00	;	9.48	;	10.8050251	;	10.61526681
05.01.2014 11:00	;	9.53375	;	10.80890751	;	10.63491577
05.01.2014 12:00	;	9.56125	;	10.90543747	;	10.71598429
05.01.2014 13:00	;	9.6875	;	10.96977901	;	10.77306734
05.01.2014 14:00	;	9.705	;	10.85338497	;	10.69137346
05.01.2014 15:00	;	9.975	;	11.39023685	;	11.2438227
05.01.2014 16:00	;	9.89625	;	11.06216908	;	10.88921652
05.01.2014 17:00	;	9.845	;	10.85965633	;	10.70490587
05.01.2014 18:00	;	9.6425	;	11.03799438	;	10.82349598
05.01.2014 19:00	;	9.7425	;	10.99503803	;	10.8073316
05.01.2014 20:00	;	9.72	;	10.86293888	;	10.70043934
05.01.2014 21:00	;	9.5	;	10.73271751	;	10.57951375
05.01.2014 22:00	;	9.38125	;	10.5012064	;	10.36405091
05.01.2014 23:00	;	9.245	;	10.41042995	;	10.2712605
06.01.2014 00:00	;	9.3225	;	10.51088619	;	10.36217803
06.01.2014 01:00	;	9.18375	;	10.29857349	;	10.17971673
06.01.2014 02:00	;	9.20125	;	10.46321774	;	10.32328131
06.01.2014 03:00	;	9.525	;	10.97488785	;	10.78684873
06.01.2014 04:00	;	8.72125	;	9.126317978	;	9.101403948
06.01.2014 05:00	;	8.1525	;	8.935425758	;	8.835371058
06.01.2014 06:00	;	8.045	;	9.292965889	;	9.184461298
06.01.2014 07:00	;	8.425	;	9.551574707	;	9.469246387
06.01.2014 08:00	;	8.565	;	9.750567436	;	9.685281118
06.01.2014 09:00	;	8.71125	;	9.846399307	;	9.794182616
06.01.2014 10:00	;	9.01625	;	10.33683205	;	10.22444989
06.01.2014 11:00	;	9.38875	;	10.68761444	;	10.58753029
06.01.2014 12:00	;	9.445	;	10.59259033	;	10.50200519
06.01.2014 13:00	;	9.7125	;	11.03222275	;	10.97698649
06.01.2014 14:00	;	9.9875	;	11.25806141	;	11.24302761
06.01.2014 15:00	;	10.11375	;	11.36089516	;	11.33707577
06.01.2014 16:00	;	10.1125	;	11.32368088	;	11.2479749
06.01.2014 17:00	;	10.1125	;	11.23391533	;	11.09989016
06.01.2014 18:00	;	10.13875	;	11.37240314	;	11.2639263
06.01.2014 19:00	;	10.2925	;	11.5293541	;	11.45514141
06.01.2014 20:00	;	10.1725	;	11.28007984	;	11.10500678
06.01.2014 21:00	;	10.195	;	11.34431458	;	11.1765109
06.01.2014 22:00	;	10.2775	;	11.56629753	;	11.46355708
06.01.2014 23:00	;	10.415	;	11.65201378	;	11.56265703
07.01.2014 00:00	;	10.36625	;	11.51028728	;	11.35513104
07.01.2014 01:00	;	10.28625	;	11.48155975	;	11.30445225
07.01.2014 02:00	;	10.1925	;	11.28696918	;	11.0680111
07.01.2014 03:00	;	10.28625	;	11.43003845	;	11.23323489
07.01.2014 04:00	;	9.88625	;	10.85517311	;	10.71945896
07.01.2014 05:00	;	10.17875	;	11.39582729	;	11.20423902
07.01.2014 06:00	;	10.0025	;	11.02371311	;	10.86196264
07.01.2014 07:00	;	9.85875	;	10.78768635	;	10.6387847
07.01.2014 08:00	;	9.69875	;	10.60776806	;	10.46361516
07.01.2014 09:00	;	9.76	;	10.80825138	;	10.63000874
07.01.2014 10:00	;	9.96	;	11.21022701	;	11.03184673
07.01.2014 11:00	;	10.16375	;	11.42368317	;	11.30732448
07.01.2014 12:00	;	10.3175	;	11.53734016	;	11.4358276
07.01.2014 13:00	;	10.325	;	11.42921352	;	11.26840485
07.01.2014 14:00	;	10.52125	;	11.72297192	;	11.6406751
07.01.2014 15:00	;	10.67875	;	12.0185461	;	12.01588187
07.01.2014 16:00	;	10.85375	;	12.06220341	;	12.04094998
07.01.2014 17:00	;	10.71375	;	11.63517952	;	11.44138051
07.01.2014 18:00	;	10.625	;	11.76077843	;	11.59585809
07.01.2014 19:00	;	10.64625	;	11.81192875	;	11.66156778
07.01.2014 20:00	;	10.7075	;	11.79008198	;	11.62541742
07.01.2014 21:00	;	10.465	;	11.3439703	;	11.14188648
07.01.2014 22:00	;	10.21375	;	11.1422472	;	10.94315697
07.01.2014 23:00	;	10.38625	;	11.7282505	;	11.57123502
08.01.2014 00:00	;	10.5425	;	11.8053503	;	11.67543648
08.01.2014 01:00	;	10.5325	;	11.59325886	;	11.37902072
08.01.2014 02:00	;	10.4725	;	11.62845421	;	11.41795194
08.01.2014 03:00	;	10.52375	;	11.6374321	;	11.4287488
08.01.2014 04:00	;	10.3	;	11.28208923	;	11.07646582
08.01.2014 05:00	;	10.26625	;	11.32978249	;	11.07163209
08.01.2014 06:00	;	10.20125	;	11.21368504	;	10.9930086
08.01.2014 07:00	;	10.05875	;	10.96404171	;	10.78101717
08.01.2014 08:00	;	9.66	;	10.4409914	;	10.29103671
08.01.2014 09:00	;	10.06375	;	11.5221386	;	11.37164887
08.01.2014 10:00	;	10.40625	;	11.62574577	;	11.51320747
08.01.2014 11:00	;	10.56125	;	11.91825867	;	11.87605811
08.01.2014 12:00	;	10.75125	;	11.95837402	;	11.89602745
08.01.2014 13:00	;	10.8625	;	12.13561726	;	12.10144553
08.01.2014 14:00	;	11.00875	;	12.31382942	;	12.30976518
08.01.2014 15:00	;	11.23625	;	12.51186657	;	12.54189026
08.01.2014 16:00	;	11.185	;	12.39714718	;	12.35171061
08.01.2014 17:00	;	10.93125	;	11.98521233	;	11.77590777
08.01.2014 18:00	;	10.54875	;	11.38195896	;	11.17272852
08.01.2014 19:00	;	10.28125	;	11.17213917	;	10.94667519
08.01.2014 20:00	;	9.955	;	10.70644855	;	10.51173915
08.01.2014 21:00	;	10.1	;	11.20862484	;	10.91565416
08.01.2014 22:00	;	10.23375	;	11.42626572	;	11.1808251
08.01.2014 23:00	;	10.2925	;	11.39123917	;	11.13705155
09.01.2014 00:00	;	10.2025	;	11.13160038	;	10.93366402
09.01.2014 01:00	;	10.2325	;	11.40309238	;	11.15711146
09.01.2014 02:00	;	10.31375	;	11.5179081	;	11.31230781
09.01.2014 03:00	;	10.425	;	11.4960165	;	11.27673521
09.01.2014 04:00	;	10.265	;	11.2830658	;	11.06126295
09.01.2014 05:00	;	10.39375	;	11.45756817	;	11.22211927
09.01.2014 06:00	;	10.27125	;	11.2210207	;	11.01082156
09.01.2014 07:00	;	10.2575	;	11.17114353	;	10.9546381
09.01.2014 08:00	;	10.13125	;	10.98797131	;	10.80180198
09.01.2014 09:00	;	10.1625	;	11.06479836	;	10.85153667
09.01.2014 10:00	;	10.395	;	11.54773617	;	11.38971088
09.01.2014 11:00	;	10.50625	;	11.44235516	;	11.24298692
09.01.2014 12:00	;	10.50875	;	11.4239502	;	11.20505022
09.01.2014 13:00	;	10.53375	;	11.48683071	;	11.28104912
09.01.2014 14:00	;	10.6225	;	11.64911747	;	11.489285
