timestep;TWW Bedarf dezentral Booster;TWW Bedarf Vorerwärmung DLE (bis 40°C);TWW Bedarf dezentral DLE (40-56°C)
0;11,98296607;18,23954774;9,727758795
900;9,458032001;15,63330063;8,337760333
1800;8,995673065;14,77622007;7,880650705
2700;9,268141028;15,34000811;8,181337658
3600;9,032676133;16,57044508;8,83757071
4500;9,331393482;18,44919284;9,839569514
5400;9,085523025;15,15921054;8,084912287
6300;8,985674589;14,56804085;7,769621785
7200;8,983245716;14,64298458;7,809591776
8100;9,064909305;14,84713911;7,918474189
9000;9,895776582;15,41972023;8,22385079
9900;9,460985908;15,25616616;8,136621952
10800;11,46184902;17,19362922;9,169935584
11700;13,41565937;19,17194725;10,22503853
12600;15,76662381;21,59970407;11,51984217
13500;17,69429802;23,56819108;12,56970191
14400;30,94364334;37,39972929;19,94652229
15300;27,59238361;33,99174417;18,12893022
16200;26,75648062;33,16536332;17,68819377
17100;47,06416465;54,32842328;28,97515908
18000;47,17258802;54,41217872;29,01982865
18900;31,00574671;37,45012333;19,97339911
19800;54,78869895;62,53089762;33,34981206
20700;51,79554457;59,27521721;31,61344918
21600;47,33513707;54,76675672;29,20893692
22500;57,12307486;65,82229391;35,10522342
23400;87,14959151;96,42414276;51,42620947
24300;65,25185288;74,94449473;39,97039719
25200;96,93572513;107,6409287;57,4084953
26100;87,79797063;97,6517708;52,08094443
27000;96,93872904;112,3051468;59,8960783
27900;55,564208;68,67295586;36,62557646
28800;51,49419817;64,58509414;34,44538354
29700;47,69066078;66,13453523;35,27175212
30600;57,77193301;72,53809918;38,68698623
31500;61,6594686;82,00226325;43,7345404
32400;70,20658945;94,76758436;50,54271166
33300;51,77333967;67,59823951;36,0523944
34200;58,4288058;85,87702284;45,80107885
35100;47,59570029;67,24983899;35,86658079
36000;50,4731869;70,34527304;37,51747896
36900;39,99320943;61,30949515;32,69839741
37800;38,29559646;50,56886706;26,97006243
38700;31,97460822;53,5091738;28,53822603
39600;30,84712862;41,15131843;21,94736983
40500;31,42286122;45,06092985;24,03249592
41400;29,68455746;49,22537439;26,25353301
42300;30,77090875;47,24517811;25,19742832
43200;22,17643056;36,74752755;19,59868136
44100;24,13252439;36,8893424;19,67431595
45000;18,67563268;30,85782595;16,45750718
45900;19,0092649;29,51978762;15,74388673
46800;14,26380682;30,80240227;16,42794788
47700;13,04147135;30,08466505;16,04515469
48600;12,94522149;29,74305516;15,86296275
49500;11,51568688;30,77585659;16,41379018
50400;12,51184349;25,3292581;13,50893765
51300;12,41226262;27,19787617;14,50553396
52200;12,19840699;27,2343043;14,5249623
53100;12,96903351;27,66240241;14,75328129
54000;14,81270939;36,2293768;19,3223343
54900;12,81387746;23,11177983;12,32628257
55800;16,0626998;29,63828487;15,80708527
56700;20,13628856;38,07212563;20,30513367
57600;14,88346382;27,61793569;14,7295657
58500;30,95563321;45,70214207;24,37447577
59400;34,95689417;51,43031971;27,42950385
60300;22,37715482;34,45974273;18,37852946
61200;45,45060621;63,72160036;33,98485352
62100;50,08627849;69,22938869;36,92234064
63000;32,38934206;48,03007866;25,61604195
63900;54,87366748;75,57014598;40,30407785
64800;68,80243181;87,28871292;46,55398023
65700;42,83921589;57,55812034;30,69766418
66600;74,68860258;88,29844388;47,0925034
67500;86,69631644;99,798013;53,22560693
68400;68,61313532;80,32967437;42,842493
69300;83,13407127;97,3905598;51,94163189
70200;76,36734645;89,21885583;47,58338978
71100;77,90016511;95,10361166;50,72192622
72000;61,60281804;76,23086118;40,65645929
72900;66,7522392;81,86931315;43,66363368
