timestep;stock_price_power_EUR_MWh
01.01.2024 00:00;0,1
01.01.2024 00:15;0,1
01.01.2024 00:30;0,1
01.01.2024 00:45;0,1
01.01.2024 01:00;0,01
01.01.2024 01:15;0,01
01.01.2024 01:30;0,01
01.01.2024 01:45;0,01
01.01.2024 02:00;0
01.01.2024 02:15;0
01.01.2024 02:30;0
01.01.2024 02:45;0
01.01.2024 03:00;-0,01
01.01.2024 03:15;-0,01
01.01.2024 03:30;-0,01
01.01.2024 03:45;-0,01
01.01.2024 04:00;-0,03
01.01.2024 04:15;-0,03
01.01.2024 04:30;-0,03
01.01.2024 04:45;-0,03
01.01.2024 05:00;-0,02
01.01.2024 05:15;-0,02
01.01.2024 05:30;-0,02
01.01.2024 05:45;-0,02
01.01.2024 06:00;-0,05
01.01.2024 06:15;-0,05
01.01.2024 06:30;-0,05
01.01.2024 06:45;-0,05
01.01.2024 07:00;-0,02
01.01.2024 07:15;-0,02
01.01.2024 07:30;-0,02
01.01.2024 07:45;-0,02
01.01.2024 08:00;0
01.01.2024 08:15;0
01.01.2024 08:30;0
01.01.2024 08:45;0
01.01.2024 09:00;0,04
01.01.2024 09:15;0,04
01.01.2024 09:30;0,04
01.01.2024 09:45;0,04
01.01.2024 10:00;0,06
01.01.2024 10:15;0,06
01.01.2024 10:30;0,06
01.01.2024 10:45;0,06
01.01.2024 11:00;0,54
01.01.2024 11:15;0,54
01.01.2024 11:30;0,54
01.01.2024 11:45;0,54
01.01.2024 12:00;2,24
01.01.2024 12:15;2,24
01.01.2024 12:30;2,24
01.01.2024 12:45;2,24
01.01.2024 13:00;1,96
01.01.2024 13:15;1,96
01.01.2024 13:30;1,96
01.01.2024 13:45;1,96
01.01.2024 14:00;1,04
01.01.2024 14:15;1,04
01.01.2024 14:30;1,04
01.01.2024 14:45;1,04
01.01.2024 15:00;3,66
01.01.2024 15:15;3,66
01.01.2024 15:30;3,66
01.01.2024 15:45;3,66
01.01.2024 16:00;43,06
01.01.2024 16:15;43,06
01.01.2024 16:30;43,06
01.01.2024 16:45;43,06
01.01.2024 17:00;49,93
01.01.2024 17:15;49,93
01.01.2024 17:30;49,93
01.01.2024 17:45;49,93
01.01.2024 18:00;58
01.01.2024 18:15;58
01.01.2024 18:30;58
01.01.2024 18:45;58
01.01.2024 19:00;54,25
01.01.2024 19:15;54,25
01.01.2024 19:30;54,25
01.01.2024 19:45;54,25
01.01.2024 20:00;48,01
01.01.2024 20:15;48,01
01.01.2024 20:30;48,01
01.01.2024 20:45;48,01
01.01.2024 21:00;42,95
01.01.2024 21:15;42,95
01.01.2024 21:30;42,95
01.01.2024 21:45;42,95
01.01.2024 22:00;47,09
01.01.2024 22:15;47,09
01.01.2024 22:30;47,09
01.01.2024 22:45;47,09
01.01.2024 23:00;35,55
01.01.2024 23:15;35,55
01.01.2024 23:30;35,55
01.01.2024 23:45;35,55
02.01.2024 00:00;30,59
02.01.2024 00:15;30,59
02.01.2024 00:30;30,59
02.01.2024 00:45;30,59
02.01.2024 01:00;20,07
02.01.2024 01:15;20,07
02.01.2024 01:30;20,07
02.01.2024 01:45;20,07
02.01.2024 02:00;31,03
02.01.2024 02:15;31,03
02.01.2024 02:30;31,03
02.01.2024 02:45;31,03
02.01.2024 03:00;18,39
02.01.2024 03:15;18,39
02.01.2024 03:30;18,39
02.01.2024 03:45;18,39
02.01.2024 04:00;11,08
02.01.2024 04:15;11,08
02.01.2024 04:30;11,08
02.01.2024 04:45;11,08
02.01.2024 05:00;13,78
02.01.2024 05:15;13,78
02.01.2024 05:30;13,78
02.01.2024 05:45;13,78
02.01.2024 06:00;47,63
02.01.2024 06:15;47,63
02.01.2024 06:30;47,63
02.01.2024 06:45;47,63
02.01.2024 07:00;58,1
02.01.2024 07:15;58,1
02.01.2024 07:30;58,1
02.01.2024 07:45;58,1
02.01.2024 08:00;65,67
02.01.2024 08:15;65,67
02.01.2024 08:30;65,67
02.01.2024 08:45;65,67
02.01.2024 09:00;64,73
02.01.2024 09:15;64,73
02.01.2024 09:30;64,73
02.01.2024 09:45;64,73
02.01.2024 10:00;68,98
02.01.2024 10:15;68,98
02.01.2024 10:30;68,98
02.01.2024 10:45;68,98
02.01.2024 11:00;73,54
02.01.2024 11:15;73,54
02.01.2024 11:30;73,54
02.01.2024 11:45;73,54
02.01.2024 12:00;78,16
02.01.2024 12:15;78,16
02.01.2024 12:30;78,16
02.01.2024 12:45;78,16
02.01.2024 13:00;78,87
02.01.2024 13:15;78,87
02.01.2024 13:30;78,87
02.01.2024 13:45;78,87
02.01.2024 14:00;79,24
02.01.2024 14:15;79,24
02.01.2024 14:30;79,24
02.01.2024 14:45;79,24
02.01.2024 15:00;79,96
02.01.2024 15:15;79,96
02.01.2024 15:30;79,96
02.01.2024 15:45;79,96
02.01.2024 16:00;83,46
02.01.2024 16:15;83,46
02.01.2024 16:30;83,46
02.01.2024 16:45;83,46
02.01.2024 17:00;80,92
02.01.2024 17:15;80,92
02.01.2024 17:30;80,92
02.01.2024 17:45;80,92
02.01.2024 18:00;74,95
02.01.2024 18:15;74,95
02.01.2024 18:30;74,95
02.01.2024 18:45;74,95
02.01.2024 19:00;63,18
02.01.2024 19:15;63,18
02.01.2024 19:30;63,18
02.01.2024 19:45;63,18
02.01.2024 20:00;57,11
02.01.2024 20:15;57,11
02.01.2024 20:30;57,11
02.01.2024 20:45;57,11
02.01.2024 21:00;46,89
02.01.2024 21:15;46,89
02.01.2024 21:30;46,89
02.01.2024 21:45;46,89
02.01.2024 22:00;40
02.01.2024 22:15;40
02.01.2024 22:30;40
02.01.2024 22:45;40
02.01.2024 23:00;7,43
02.01.2024 23:15;7,43
