timestep;boersenpreis_EUR_MWh
01.12.2023 00:00;106,91
01.12.2023 00:15;106,91
01.12.2023 00:30;106,91
01.12.2023 00:45;106,91
01.12.2023 01:00;102,63
01.12.2023 01:15;102,63
01.12.2023 01:30;102,63
01.12.2023 01:45;102,63
01.12.2023 02:00;99,10
01.12.2023 02:15;99,10
01.12.2023 02:30;99,10
01.12.2023 02:45;99,10
01.12.2023 03:00;95,88
01.12.2023 03:15;95,88
01.12.2023 03:30;95,88
01.12.2023 03:45;95,88
01.12.2023 04:00;96,07
01.12.2023 04:15;96,07
01.12.2023 04:30;96,07
01.12.2023 04:45;96,07
01.12.2023 05:00;102,31
01.12.2023 05:15;102,31
01.12.2023 05:30;102,31
01.12.2023 05:45;102,31
01.12.2023 06:00;120,03
01.12.2023 06:15;120,03
01.12.2023 06:30;120,03
01.12.2023 06:45;120,03
01.12.2023 07:00;152,11
01.12.2023 07:15;152,11
01.12.2023 07:30;152,11
01.12.2023 07:45;152,11
01.12.2023 08:00;203,46
01.12.2023 08:15;203,46
01.12.2023 08:30;203,46
01.12.2023 08:45;203,46
01.12.2023 09:00;222,63
01.12.2023 09:15;222,63
01.12.2023 09:30;222,63
01.12.2023 09:45;222,63
01.12.2023 10:00;215,37
01.12.2023 10:15;215,37
01.12.2023 10:30;215,37
01.12.2023 10:45;215,37
01.12.2023 11:00;213,52
01.12.2023 11:15;213,52
01.12.2023 11:30;213,52
01.12.2023 11:45;213,52
01.12.2023 12:00;197,09
01.12.2023 12:15;197,09
01.12.2023 12:30;197,09
01.12.2023 12:45;197,09
01.12.2023 13:00;175,19
01.12.2023 13:15;175,19
01.12.2023 13:30;175,19
01.12.2023 13:45;175,19
01.12.2023 14:00;174,32
01.12.2023 14:15;174,32
01.12.2023 14:30;174,32
01.12.2023 14:45;174,32
01.12.2023 15:00;184,40
01.12.2023 15:15;184,40
01.12.2023 15:30;184,40
01.12.2023 15:45;184,40
01.12.2023 16:00;200,05
01.12.2023 16:15;200,05
01.12.2023 16:30;200,05
01.12.2023 16:45;200,05
01.12.2023 17:00;230,69
01.12.2023 17:15;230,69
01.12.2023 17:30;230,69
01.12.2023 17:45;230,69
01.12.2023 18:00;199,16
01.12.2023 18:15;199,16
01.12.2023 18:30;199,16
01.12.2023 18:45;199,16
01.12.2023 19:00;168,56
01.12.2023 19:15;168,56
01.12.2023 19:30;168,56
01.12.2023 19:45;168,56
01.12.2023 20:00;142,37
01.12.2023 20:15;142,37
01.12.2023 20:30;142,37
01.12.2023 20:45;142,37
01.12.2023 21:00;125,13
01.12.2023 21:15;125,13
01.12.2023 21:30;125,13
01.12.2023 21:45;125,13
01.12.2023 22:00;118,40
01.12.2023 22:15;118,40
01.12.2023 22:30;118,40
01.12.2023 22:45;118,40
01.12.2023 23:00;108,13
01.12.2023 23:15;108,13
01.12.2023 23:30;108,13
01.12.2023 23:45;108,13
02.12.2023 00:00;105,22
02.12.2023 00:15;105,22
02.12.2023 00:30;105,22
02.12.2023 00:45;105,22
02.12.2023 01:00;102,69
02.12.2023 01:15;102,69
02.12.2023 01:30;102,69
02.12.2023 01:45;102,69
02.12.2023 02:00;101,25
02.12.2023 02:15;101,25
02.12.2023 02:30;101,25
02.12.2023 02:45;101,25
02.12.2023 03:00;98,89
