DATE_FROM;DATE_TO;TYPE_OF_RESERVES;PRODUCT;TOTAL_MIN_CAPACITY_PRICE_[(EUR/MW)/h];TOTAL_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h];TOTAL_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_MIN_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_IMPORT(-)_EXPORT(+)_[MW];AUSTRIA_MIN_CAPACITY_PRICE_[(EUR/MW)/h];AUSTRIA_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h];AUSTRIA_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h];AUSTRIA_IMPORT(-)_EXPORT(+)_[MW];GERMANY_SUM_OF_OFFERED_CAPACITY_[MW]
01.01.2024;01.01.2024;aFRR;POS_00_04;2,20;4,63;5,25;4,01;4,72;5,25;21,00;2,20;3,78;5,01;-21,00;3637,00
01.01.2024;01.01.2024;aFRR;POS_04_08;2,28;4,63;5,01;3,65;4,67;5,01;44,00;2,28;4,06;5,00;-44,00;3655,00
01.01.2024;01.01.2024;aFRR;POS_08_12;3,24;6,24;6,66;5,15;6,33;6,66;-19,00;3,24;5,57;6,63;19,00;3732,00
01.01.2024;01.01.2024;aFRR;POS_12_16;2,04;4,06;4,41;3,10;4,12;4,41;8,00;2,04;3,56;4,40;-8,00;3878,00
01.01.2024;01.01.2024;aFRR;POS_16_20;5,73;11,13;11,92;10,03;11,36;11,92;-48,00;5,73;9,40;11,82;48,00;4184,00
01.01.2024;01.01.2024;aFRR;POS_20_24;4,35;7,97;8,51;6,55;8,14;8,51;-34,00;4,35;6,66;8,50;34,00;4107,00
01.01.2024;01.01.2024;aFRR;NEG_00_04;1,48;21,30;25,21;8,00;21,33;25,21;-7,00;1,48;21,06;25,00;7,00;3378,00
01.01.2024;01.01.2024;aFRR;NEG_04_08;1,42;19,54;23,40;7,00;19,77;23,40;-17,00;1,42;17,62;23,10;17,00;3414,00
01.01.2024;01.01.2024;aFRR;NEG_08_12;0,92;12,57;23,08;2,00;13,07;23,08;-44,00;0,92;8,50;18,33;44,00;3226,00
01.01.2024;01.01.2024;aFRR;NEG_12_16;1,50;14,37;20,63;2,00;15,02;20,63;-55,00;1,50;9,52;17,29;55,00;3284,00
01.01.2024;01.01.2024;aFRR;NEG_16_20;0,72;5,62;6,73;1,00;5,83;6,73;-60,00;0,72;4,16;6,50;60,00;3089,00
01.01.2024;01.01.2024;aFRR;NEG_20_24;1,09;8,06;9,81;3,00;8,24;9,81;-59,00;1,09;6,72;9,50;59,00;3199,00
02.01.2024;02.01.2024;aFRR;POS_00_04;2,40;4,64;5,19;4,20;4,71;5,19;-68,00;2,40;4,23;5,13;68,00;3671,00
02.01.2024;02.01.2024;aFRR;POS_04_08;2,28;4,68;5,64;4,31;4,74;5,64;-80,00;2,28;4,33;5,42;80,00;3745,00
02.01.2024;02.01.2024;aFRR;POS_08_12;2,86;7,10;9,03;5,86;7,32;9,03;-80,00;2,86;5,69;7,50;80,00;4152,00
02.01.2024;02.01.2024;aFRR;POS_12_16;1,99;4,51;5,70;3,78;4,61;5,70;-80,00;1,99;3,84;4,93;80,00;4111,00
02.01.2024;02.01.2024;aFRR;POS_16_20;5,50;11,13;12,31;8,02;11,32;12,31;-77,00;5,50;9,92;12,25;77,00;4206,00
02.01.2024;02.01.2024;aFRR;POS_20_24;3,80;7,72;8,43;5,60;7,84;8,43;-34,00;3,80;6,83;8,35;34,00;4227,00
02.01.2024;02.01.2024;aFRR;NEG_00_04;2,37;17,96;20,63;8,00;18,10;20,63;63,00;2,37;15,88;19,99;-63,00;3270,00
02.01.2024;02.01.2024;aFRR;NEG_04_08;2,14;16,76;19,32;7,00;16,93;19,32;-52,00;2,14;15,46;19,00;52,00;3393,00
02.01.2024;02.01.2024;aFRR;NEG_08_12;1,17;9,10;11,37;2,00;9,42;11,37;-80,00;1,17;6,97;10,00;80,00;3183,00
02.01.2024;02.01.2024;aFRR;NEG_12_16;1,66;10,55;12,33;2,00;10,88;12,33;-80,00;1,66;8,45;11,10;80,00;3062,00
02.01.2024;02.01.2024;aFRR;NEG_16_20;0,52;4,98;5,65;1,00;5,19;5,65;-80,00;0,52;3,59;4,70;80,00;2950,00
02.01.2024;02.01.2024;aFRR;NEG_20_24;0,65;7,60;8,69;3,00;7,79;8,69;-73,00;0,65;6,32;8,60;73,00;3363,00
03.01.2024;03.01.2024;aFRR;POS_00_04;2,34;4,50;4,88;3,51;4,54;4,88;42,00;2,34;4,01;4,80;-42,00;3860,00
03.01.2024;03.01.2024;aFRR;POS_04_08;2,28;4,66;4,97;4,01;4,70;4,97;38,00;2,28;4,16;4,96;-38,00;3781,00
03.01.2024;03.01.2024;aFRR;POS_08_12;3,66;6,94;7,88;5,80;7,02;7,88;21,00;3,66;6,07;7,50;-21,00;3948,00
03.01.2024;03.01.2024;aFRR;POS_12_16;2,41;4,51;4,97;3,88;4,55;4,97;16,00;2,41;4,06;4,92;-16,00;3997,00
03.01.2024;03.01.2024;aFRR;POS_16_20;5,72;11,91;15,48;7,62;12,20;15,48;-80,00;5,72;10,06;11,99;80,00;3840,00
03.01.2024;03.01.2024;aFRR;POS_20_24;3,78;7,49;8,12;5,32;7,60;8,12;-66,00;3,78;6,73;8,09;66,00;4203,00
03.01.2024;03.01.2024;aFRR;NEG_00_04;1,50;23,44;31,99;8,70;24,16;31,99;-12,00;1,50;16,88;25,50;12,00;3050,00
03.01.2024;03.01.2024;aFRR;NEG_04_08;1,45;19,95;26,96;6,40;20,63;26,96;-47,00;1,45;14,95;22,31;47,00;3067,00
03.01.2024;03.01.2024;aFRR;NEG_08_12;0,71;8,48;10,00;4,20;8,75;10,00;-48,00;0,71;6,61;10,00;48,00;3172,00
03.01.2024;03.01.2024;aFRR;NEG_12_16;0,74;9,99;12,84;4,20;10,29;12,84;-69,00;0,74;7,93;12,23;69,00;3099,00
03.01.2024;03.01.2024;aFRR;NEG_16_20;0,47;4,52;5,13;2,00;4,66;5,13;-41,00;0,47;3,53;5,08;41,00;3127,00
03.01.2024;03.01.2024;aFRR;NEG_20_24;0,74;6,70;7,50;2,00;6,83;7,50;-6,00;0,74;5,58;7,44;6,00;3077,00
