"Date";"Kernenergie";"Braunkohle";"Steinkohle";"Gas";"Sonstige Konventionelle";"Photovoltaik";"Wind";"Wasserkraft";"Biomasse";"Sonstige Erneuerbare";"Missing Data";"CO₂-Intensität";"Missing Data Line"
"2024-01-01T00:00:00.000Z";"10,868";"2.761,019";"1.307,719";"1.337,93";"605,611";"0,117";"1.005,303";"6,812";"153,428";"3,29";"0";"183,418";"0"
"2024-01-01T01:00:00.000Z";"9,074";"2.715,997";"1.272,18";"1.326,692";"574,559";"0,115";"982,968";"6,612";"150,584";"3,279";"0";"184,207";"0"
"2024-01-01T02:00:00.000Z";"7,65";"2.759,721";"1.274,674";"1.341,05";"569,046";"0,116";"959,494";"6,558";"150,715";"3,412";"0";"188,602";"0"
"2024-01-01T03:00:00.000Z";"6,804";"2.777,565";"1.287,712";"1.328,324";"545,393";"0,103";"952,55";"6,585";"151,095";"3,59";"0";"190,158";"0"
"2024-01-01T04:00:00.000Z";"5,505";"2.804,019";"1.303,493";"1.354,154";"518,335";"0,105";"963,523";"6,643";"154,29";"3,573";"0";"190,061";"0"
"2024-01-01T05:00:00.000Z";"7,421";"2.811,677";"1.292,27";"1.352,283";"540,707";"0,117";"947,031";"6,428";"154,72";"3,597";"0";"191,769";"0"
"2024-01-01T06:00:00.000Z";"5,688";"2.846,146";"1.325,632";"1.364,972";"529,712";"0,199";"970,033";"6,236";"160,542";"3,614";"0";"191,252";"0"
"2024-01-01T07:00:00.000Z";"6,524";"2.820,715";"1.304,62";"1.351,877";"505,011";"25,253";"984,949";"6,282";"162,455";"3,591";"0";"186,842";"0"
"2024-01-01T08:00:00.000Z";"4,564";"2.866,272";"1.307,035";"1.335,126";"415,646";"181,479";"976,297";"6,336";"165,002";"3,69";"0";"179,937";"0"
"2024-01-01T09:00:00.000Z";"3,266";"2.890,061";"1.338,575";"1.337,646";"416,417";"359,398";"973,214";"6,139";"162,71";"3,386";"0";"175,307";"0"
"2024-01-01T10:00:00.000Z";"3,075";"2.876,879";"1.405,433";"1.341,065";"416,672";"459,93";"1.005,44";"6,407";"166,461";"3,296";"0";"169,748";"0"
"2024-01-01T11:00:00.000Z";"6,068";"2.940,339";"1.443,842";"1.395,13";"478,989";"448,961";"1.026,054";"6,583";"167,71";"3,503";"0";"171,069";"0"
"2024-01-01T12:00:00.000Z";"10,705";"2.961,746";"1.454,296";"1.400,544";"577,841";"385,15";"1.017,035";"6,938";"168,102";"3,466";"0";"174,728";"0"
"2024-01-01T13:00:00.000Z";"17,403";"3.140,782";"1.484,577";"1.467,629";"610,474";"271,716";"1.009,922";"7,492";"172,796";"3,324";"0";"180,513";"0"
"2024-01-01T14:00:00.000Z";"27,696";"3.256,031";"1.574,727";"1.580,557";"516,938";"110,437";"1.020,159";"8,385";"183,162";"3,633";"0";"182,435";"0"
"2024-01-01T15:00:00.000Z";"34,002";"3.343,889";"1.705,442";"1.900,357";"549,506";"16,79";"1.060,545";"9,129";"194,449";"4,021";"0";"186,3";"0"
"2024-01-01T16:00:00.000Z";"33";"3.548,809";"1.840,742";"2.091,246";"587,893";"3,378";"1.114,232";"9,383";"202,807";"4,521";"0";"186,471";"0"
"2024-01-01T17:00:00.000Z";"34,414";"3.513,237";"1.860,726";"2.063,958";"560,954";"0,975";"1.076,547";"9,502";"202,281";"4,286";"0";"183,994";"0"
"2024-01-01T18:00:00.000Z";"33,414";"3.656,181";"1.906,979";"1.986,443";"518,909";"0,127";"1.073,862";"9,764";"206,574";"3,91";"0";"189,438";"0"
"2024-01-01T19:00:00.000Z";"39,64";"3.639,335";"1.837,504";"1.909,251";"553,912";"0,126";"1.051,773";"9,737";"200,736";"3,883";"0";"194,512";"0"
"2024-01-01T20:00:00.000Z";"38,851";"3.539,569";"1.789,914";"1.919,068";"566,521";"0,141";"1.004,391";"9,661";"197,789";"4,068";"0";"198,94";"0"
"2024-01-01T21:00:00.000Z";"38,971";"3.547,48";"1.665,435";"1.853,688";"668,404";"0,124";"962,96";"9,694";"191,994";"4,218";"0";"202,773";"0"
"2024-01-01T22:00:00.000Z";"36,087";"3.533,013";"1.548,034";"1.831,448";"673,745";"0,139";"891,525";"9,531";"187,82";"4,597";"0";"210,151";"0"
