timestep;CO2_life_g_kWh
01.01.2024 00:00;183,418
01.01.2024 01:00;184,207
01.01.2024 02:00;188,602
01.01.2024 03:00;190,158
01.01.2024 04:00;190,061
01.01.2024 05:00;191,769
01.01.2024 06:00;191,252
01.01.2024 07:00;186,842
01.01.2024 08:00;179,937
01.01.2024 09:00;175,307
01.01.2024 10:00;169,748
01.01.2024 11:00;171,069
01.01.2024 12:00;174,728
01.01.2024 13:00;180,513
01.01.2024 14:00;182,435
01.01.2024 15:00;186,3
01.01.2024 16:00;186,471
01.01.2024 17:00;183,994
01.01.2024 18:00;189,438
01.01.2024 19:00;194,512
01.01.2024 20:00;198,94
01.01.2024 21:00;202,773
01.01.2024 22:00;210,151
01.01.2024 23:00;211,307
02.01.2024 00:00;211,907
02.01.2024 01:00;214,981
02.01.2024 02:00;212,052
02.01.2024 03:00;205,253
02.01.2024 04:00;199,16
02.01.2024 05:00;190,042
02.01.2024 06:00;187,353
02.01.2024 07:00;189,135
02.01.2024 08:00;191,707
02.01.2024 09:00;197,988
02.01.2024 10:00;204,964
02.01.2024 11:00;210,927
02.01.2024 12:00;214,655
02.01.2024 13:00;216,591
02.01.2024 14:00;212,5
02.01.2024 15:00;209,376
02.01.2024 16:00;204,406
02.01.2024 17:00;200,353
02.01.2024 18:00;189,395
02.01.2024 19:00;181,41
02.01.2024 20:00;174,833
02.01.2024 21:00;173,983
02.01.2024 22:00;173,104
02.01.2024 23:00;175,176
03.01.2024 00:00;174,809
03.01.2024 01:00;176,575
03.01.2024 02:00;175,154
03.01.2024 03:00;173,909
03.01.2024 04:00;171,497
03.01.2024 05:00;166,215
03.01.2024 06:00;167,394
03.01.2024 07:00;169,612
03.01.2024 08:00;172,841
03.01.2024 09:00;167,893
03.01.2024 10:00;164,214
03.01.2024 11:00;164,485
03.01.2024 12:00;169,251
03.01.2024 13:00;171,601
03.01.2024 14:00;179,485
03.01.2024 15:00;195,013
03.01.2024 16:00;207,33
03.01.2024 17:00;215,291
03.01.2024 18:00;216,825
03.01.2024 19:00;211,395
03.01.2024 20:00;204,363
03.01.2024 21:00;202,909
03.01.2024 22:00;203,736
03.01.2024 23:00;197,14
04.01.2024 00:00;191,132
04.01.2024 01:00;189,367
04.01.2024 02:00;190,64
04.01.2024 03:00;190,236
04.01.2024 04:00;198,428
04.01.2024 05:00;222,492
04.01.2024 06:00;256,145
04.01.2024 07:00;273,215
04.01.2024 08:00;282,302
04.01.2024 09:00;282,811
04.01.2024 10:00;282,77
04.01.2024 11:00;297
04.01.2024 12:00;316,645
04.01.2024 13:00;345,085
04.01.2024 14:00;382,778
04.01.2024 15:00;398,117
04.01.2024 16:00;407,817
04.01.2024 17:00;425,494
04.01.2024 18:00;440,245
04.01.2024 19:00;449,81
04.01.2024 20:00;460,83
04.01.2024 21:00;448,002
04.01.2024 22:00;425,924
04.01.2024 23:00;412,513
05.01.2024 00:00;386,838
05.01.2024 01:00;366,021
05.01.2024 02:00;354,859
05.01.2024 03:00;346,98
05.01.2024 04:00;345,598
05.01.2024 05:00;346,006
05.01.2024 06:00;365,606
05.01.2024 07:00;370,6
05.01.2024 08:00;364,416
05.01.2024 09:00;354,003
05.01.2024 10:00;338,26
05.01.2024 11:00;339,595
05.01.2024 12:00;338,437
05.01.2024 13:00;349,151
05.01.2024 14:00;359,202
05.01.2024 15:00;359,566
05.01.2024 16:00;353,635
05.01.2024 17:00;359,548
05.01.2024 18:00;377,727
05.01.2024 19:00;396,65
05.01.2024 20:00;396,62
05.01.2024 21:00;394,81
05.01.2024 22:00;383,824
05.01.2024 23:00;378,202
06.01.2024 00:00;379,032
06.01.2024 01:00;376,743
06.01.2024 02:00;375,298
06.01.2024 03:00;376,935
06.01.2024 04:00;385,237
06.01.2024 05:00;391,958
06.01.2024 06:00;413,97
06.01.2024 07:00;431,654
06.01.2024 08:00;425,987
06.01.2024 09:00;417,013
06.01.2024 10:00;415,97
06.01.2024 11:00;411,455
06.01.2024 12:00;411,112
06.01.2024 13:00;410,079
06.01.2024 14:00;414,42
06.01.2024 15:00;410,266
06.01.2024 16:00;398,117
06.01.2024 17:00;398,461
06.01.2024 18:00;412,026
06.01.2024 19:00;415,309
06.01.2024 20:00;425,958
06.01.2024 21:00;426,133
06.01.2024 22:00;422,826
06.01.2024 23:00;418,992
07.01.2024 00:00;404,371
07.01.2024 01:00;384,481
07.01.2024 02:00;382,391
07.01.2024 03:00;382,578
07.01.2024 04:00;383,658
07.01.2024 05:00;383,606
07.01.2024 06:00;390,349
07.01.2024 07:00;406,495
07.01.2024 08:00;423,225
07.01.2024 09:00;421,877
07.01.2024 10:00;403,008
07.01.2024 11:00;395,39
07.01.2024 12:00;394,585
07.01.2024 13:00;395,538
07.01.2024 14:00;401,86
07.01.2024 15:00;395,216
07.01.2024 16:00;385,601
07.01.2024 17:00;397,692
07.01.2024 18:00;403,83
07.01.2024 19:00;412,856
07.01.2024 20:00;410,861
07.01.2024 21:00;414,194
07.01.2024 22:00;390,572
07.01.2024 23:00;372,652
08.01.2024 00:00;354,766
08.01.2024 01:00;346,687
