"Date";"Kernenergie";"Braunkohle";"Steinkohle";"Gas";"Sonstige Konventionelle";"Photovoltaik";"Wind";"Wasserkraft";"Biomasse";"Sonstige Erneuerbare";"Missing Data";"Anteil Erneuerbare";"Missing Data Line"
"2024-01-01T00:00:00.000Z";"850,774";"2.502,616";"1.190,91";"2.614,108";"1.129,602";"1,753";"26.344,04";"1.608,669";"2.895,082";"63,244";"0";"78,87";"0"
"2024-01-01T01:00:00.000Z";"711,615";"2.461,772";"1.158,659";"2.591,704";"1.067,288";"1,727";"25.759,93";"1.561,369";"2.841,547";"63,094";"0";"79,1";"0"
"2024-01-01T02:00:00.000Z";"601,875";"2.501,492";"1.161,066";"2.619,252";"998,186";"1,738";"25.145,856";"1.548,878";"2.844,392";"65,844";"0";"78,99";"0"
"2024-01-01T03:00:00.000Z";"536,524";"2.517,773";"1.172,973";"2.593,222";"852,158";"1,547";"24.964,42";"1.555,277";"2.851,653";"69,43";"0";"79,34";"0"
"2024-01-01T04:00:00.000Z";"434,36";"2.541,639";"1.187,356";"2.642,057";"808,505";"1,567";"25.252,4";"1.569,195";"2.911,784";"68,901";"0";"79,66";"0"
"2024-01-01T05:00:00.000Z";"584,141";"2.548,592";"1.176,974";"2.639,421";"820,068";"1,748";"24.819,64";"1.518,388";"2.919,854";"69,456";"0";"79,07";"0"
"2024-01-01T06:00:00.000Z";"448,782";"2.579,768";"1.207,307";"2.663,087";"806,766";"2,995";"25.422,936";"1.472,218";"3.029,232";"69,705";"0";"79,57";"0"
"2024-01-01T07:00:00.000Z";"513,984";"2.556,724";"1.188,151";"2.636,924";"665,504";"378,264";"25.814,323";"1.482,877";"3.065,189";"69,277";"0";"80,3";"0"
"2024-01-01T08:00:00.000Z";"361,456";"2.598,062";"1.190,178";"2.600,439";"607,059";"2.718,318";"25.589,511";"1.495,908";"3.113,232";"71,256";"0";"81,77";"0"
"2024-01-01T09:00:00.000Z";"257,981";"2.619,294";"1.218,875";"2.604,771";"544,178";"5.383,235";"25.508,644";"1.448,859";"3.069,312";"64,876";"0";"83,05";"0"
"2024-01-01T10:00:00.000Z";"241,556";"2.607,164";"1.279,75";"2.610,839";"565,585";"6.888,927";"26.353,474";"1.511,834";"3.139,606";"62,794";"0";"83,87";"0"
"2024-01-01T11:00:00.000Z";"475,764";"2.664,806";"1.314,705";"2.718,125";"696,187";"6.724,573";"26.892,718";"1.553,506";"3.163,539";"67,017";"0";"83";"0"
"2024-01-01T12:00:00.000Z";"837,427";"2.684,161";"1.324,188";"2.732,293";"818,005";"5.768,462";"26.654,801";"1.637,787";"3.171";"66,208";"0";"81,63";"0"
"2024-01-01T13:00:00.000Z";"1.358,833";"2.846,192";"1.351,703";"2.864,981";"1.289,583";"4.068,869";"26.467,33";"1.768,977";"3.259,111";"63,108";"0";"78,59";"0"
"2024-01-01T14:00:00.000Z";"2.167,847";"2.950,757";"1.433,624";"3.084,921";"1.851,351";"1.654,12";"26.738,981";"1.979,02";"3.454,587";"69,19";"0";"74,7";"0"
"2024-01-01T15:00:00.000Z";"2.662,164";"3.030,322";"1.552,686";"3.708,17";"2.422,229";"250,371";"27.796,579";"2.155,101";"3.667,295";"76,419";"0";"71,75";"0"
"2024-01-01T16:00:00.000Z";"2.585,649";"3.216,055";"1.675,949";"4.082,577";"3.648,053";"50,064";"29.205,191";"2.215,734";"3.825,715";"85,95";"0";"69,95";"0"
"2024-01-01T17:00:00.000Z";"2.697,74";"3.183,88";"1.694,151";"4.026,773";"4.702,523";"14,47";"28.217,309";"2.245,196";"3.815,938";"81,628";"0";"67,84";"0"
"2024-01-01T18:00:00.000Z";"2.614,081";"3.313,356";"1.736,276";"3.872,001";"3.630,542";"1,903";"28.143,064";"2.306,257";"3.896,073";"74,438";"0";"69,43";"0"
"2024-01-01T19:00:00.000Z";"3.106,016";"3.298,27";"1.672,976";"3.731,557";"1.984,387";"1,88";"27.565,6";"2.299,241";"3.786,929";"74,257";"0";"70,99";"0"
"2024-01-01T20:00:00.000Z";"3.041,526";"3.208,039";"1.629,638";"3.747,911";"1.534,756";"2,115";"26.323,507";"2.281,087";"3.731,705";"78,084";"0";"71,14";"0"
"2024-01-01T21:00:00.000Z";"3.056,222";"3.215,412";"1.516,804";"3.626,113";"1.438,836";"1,859";"25.237,637";"2.290,595";"3.624,979";"81,307";"0";"70,86";"0"
"2024-01-01T22:00:00.000Z";"2.834,447";"3.202,701";"1.409,44";"3.582,756";"1.170,905";"2,081";"23.368,227";"2.253,742";"3.546,589";"89,294";"0";"70,59";"0"
"2024-01-01T23:00:00.000Z";"2.891,797";"2.920,769";"1.288,616";"3.492,092";"1.015,891";"2,212";"21.654,436";"2.099,259";"3.326,12";"78,31";"0";"70,07";"0"
"2024-01-02T00:00:00.000Z";"2.990,318";"2.812,372";"1.252,645";"3.353,462";"981,491";"1,726";"20.642,913";"2.125,234";"3.213,004";"68,889";"0";"69,6";"0"
"2024-01-02T01:00:00.000Z";"2.737,181";"2.796,781";"1.267,309";"3.439,183";"1.190,132";"2,151";"20.585,63";"2.110,373";"3.197,928";"72,305";"0";"69,45";"0"
"2024-01-02T02:00:00.000Z";"2.537,378";"2.694,299";"1.294,425";"3.427,972";"1.106,461";"2,093";"21.511,551";"1.958,044";"3.113,464";"67,69";"0";"70,69";"0"
"2024-01-02T03:00:00.000Z";"2.479,502";"2.675,032";"1.321,827";"3.532,183";"1.195,747";"1,674";"23.434,323";"1.956,39";"3.115,682";"63,53";"0";"71,85";"0"
"2024-01-02T04:00:00.000Z";"2.387,436";"2.693,899";"1.375,427";"3.899,278";"1.322,164";"1,904";"25.978,828";"1.964,579";"3.171,108";"63,482";"0";"72,77";"0"
"2024-01-02T05:00:00.000Z";"2.902,446";"2.787,914";"1.521,715";"4.505,587";"1.295,927";"2,221";"29.538,403";"2.132,223";"3.416,996";"73,973";"0";"73";"0"
"2024-01-02T06:00:00.000Z";"3.120,466";"2.865,364";"1.635,459";"5.315,273";"1.968,758";"2,546";"32.185,329";"2.244,436";"3.654,555";"81,582";"0";"71,93";"0"
"2024-01-02T07:00:00.000Z";"3.208,273";"2.962,503";"1.744,761";"6.235,988";"2.354,912";"69,815";"33.839,24";"2.270,293";"3.816,034";"95,02";"0";"70,85";"0"
"2024-01-02T08:00:00.000Z";"3.194,409";"3.263,759";"1.790,087";"6.690,741";"3.168,646";"567,91";"33.397,91";"2.438,73";"3.878,776";"108,564";"0";"69,06";"0"
"2024-01-02T09:00:00.000Z";"3.369,541";"3.635,793";"1.850,169";"6.935,452";"2.396,375";"1.471,612";"33.784,568";"2.547,222";"3.985,057";"117,354";"0";"69,75";"0"
"2024-01-02T10:00:00.000Z";"3.816,657";"4.075,096";"1.909,13";"7.156,778";"2.858,786";"2.354,123";"32.463,153";"2.720,833";"4.055,085";"125,132";"0";"67,81";"0"
"2024-01-02T11:00:00.000Z";"3.496,551";"4.455,482";"1.896,776";"7.265,708";"4.125,893";"2.925,745";"30.810,92";"2.765,864";"4.015,624";"124,981";"0";"65,69";"0"
"2024-01-02T12:00:00.000Z";"3.981,941";"4.450,702";"2.006,134";"7.247,123";"3.550,712";"2.634,912";"30.363,037";"2.801,145";"4.050,887";"124,782";"0";"65,32";"0"
"2024-01-02T13:00:00.000Z";"3.814,453";"4.589,057";"1.914,035";"7.202,37";"4.743,579";"1.502,144";"29.670,593";"2.716,338";"4.022,079";"124,382";"0";"63,09";"0"
"2024-01-02T14:00:00.000Z";"3.829,143";"4.324,182";"1.940,893";"7.448,811";"5.297,127";"512,731";"30.069,773";"2.946,312";"4.155,045";"125,025";"0";"62,35";"0"
"2024-01-02T15:00:00.000Z";"3.344,114";"4.335,901";"1.926,511";"7.589,959";"5.857,67";"81,423";"31.829,184";"2.712,48";"4.212,926";"123,869";"0";"62,84";"0"
"2024-01-02T16:00:00.000Z";"3.230,042";"4.240,19";"1.960,463";"7.648,585";"4.761,338";"30,088";"35.170,664";"2.529,341";"4.283,048";"125,287";"0";"65,88";"0"
"2024-01-02T17:00:00.000Z";"2.835,719";"4.145,124";"1.878,955";"7.342,487";"3.747,81";"13,8";"37.040,771";"2.377,258";"4.173,001";"123,163";"0";"68,68";"0"
"2024-01-02T18:00:00.000Z";"2.704,779";"3.631,703";"1.746,731";"6.679,371";"2.622,455";"2,159";"37.999,927";"2.373,653";"3.927,681";"114,439";"0";"71,88";"0"
"2024-01-02T19:00:00.000Z";"2.327,399";"3.209,183";"1.641,239";"5.637,857";"2.009,872";"2,066";"37.899,917";"2.159,594";"3.654,343";"102,134";"0";"74,73";"0"
"2024-01-02T20:00:00.000Z";"1.915,244";"2.845,815";"1.553,044";"4.877,345";"1.418,519";"2,201";"37.214,191";"1.933,854";"3.438,879";"88,816";"0";"77,2";"0"
"2024-01-02T21:00:00.000Z";"1.359,763";"2.870,313";"1.500,068";"4.151,615";"1.169,328";"2,176";"36.241,359";"1.790,247";"3.337,751";"79,528";"0";"78,96";"0"
"2024-01-02T22:00:00.000Z";"1.046,871";"2.818,321";"1.414,011";"3.624,699";"858,655";"1,885";"34.876,535";"1.667,099";"3.154,982";"70,127";"0";"80,3";"0"
"2024-01-02T23:00:00.000Z";"1.517,03";"2.631,486";"1.389,206";"3.358,024";"770,091";"1,842";"32.076,627";"1.732,784";"3.034,311";"59,736";"0";"79,25";"0"
"2024-01-03T00:00:00.000Z";"1.527,911";"2.518,884";"1.319,321";"3.168,573";"771,536";"1,787";"30.812,785";"1.653,957";"2.918,194";"55,082";"0";"79,21";"0"
"2024-01-03T01:00:00.000Z";"1.026,835";"2.510,556";"1.296,63";"3.193,337";"677,038";"1,77";"30.496,678";"1.562,898";"2.872,18";"57,022";"0";"80,09";"0"
"2024-01-03T02:00:00.000Z";"1.142,108";"2.499,252";"1.307,324";"3.177,379";"672,239";"1,775";"30.679,022";"1.634,086";"2.884,084";"57,561";"0";"80,04";"0"
"2024-01-03T03:00:00.000Z";"1.237,647";"2.534,567";"1.344,511";"3.259,301";"718,943";"1,803";"31.743,55";"1.654,385";"2.932,433";"57,657";"0";"80,01";"0"
"2024-01-03T04:00:00.000Z";"2.110,556";"2.539,705";"1.380,318";"3.557,358";"918,933";"1,608";"33.089,257";"1.756,051";"2.977,762";"55,987";"0";"78,29";"0"
"2024-01-03T05:00:00.000Z";"1.818,803";"2.666,71";"1.515,543";"4.069,347";"851,543";"2,095";"38.299,592";"1.754,066";"3.180,65";"57,675";"0";"79,86";"0"
"2024-01-03T06:00:00.000Z";"1.816,53";"2.829,146";"1.719,144";"4.758,274";"1.031,269";"1,949";"41.242,875";"1.834,601";"3.473,56";"68,201";"0";"79,33";"0"
"2024-01-03T07:00:00.000Z";"1.924,383";"2.926,104";"1.788,652";"5.459,757";"1.725,049";"324,522";"41.773,998";"1.906,915";"3.652,536";"78,772";"0";"77,55";"0"
"2024-01-03T08:00:00.000Z";"1.671,823";"3.079,245";"1.791,191";"5.749,298";"1.706,711";"2.286,029";"41.192,907";"1.647,124";"3.656,995";"87,553";"0";"77,74";"0"
"2024-01-03T09:00:00.000Z";"1.535,534";"2.903,487";"1.766,889";"5.568,723";"1.268,316";"4.639,651";"40.622,941";"1.779,466";"3.512,509";"93,699";"0";"79,53";"0"
"2024-01-03T10:00:00.000Z";"1.546,885";"2.889,405";"1.760,548";"5.421,207";"1.126,03";"5.727,376";"41.214,46";"1.798,405";"3.491,835";"91,705";"0";"80,42";"0"
"2024-01-03T11:00:00.000Z";"1.615,27";"2.900,974";"1.753,599";"5.357,988";"923,751";"6.143,274";"41.010,262";"1.803,917";"3.487,452";"97,505";"0";"80,72";"0"
