timestep;MW Solar
0;75,35
900;75,35
1800;75,35
2700;75,35
3600;75,35
4500;75,35
5400;75,35
6300;75,35
7200;75,35
8100;75,35
9000;75,35
9900;75,35
10800;75,35
11700;75,35
12600;75,35
13500;75,35
14400;75,35
15300;75,35
16200;75,35
17100;75,35
18000;75,35
18900;75,35
19800;75,35
20700;75,35
21600;75,35
22500;75,35
23400;75,35
24300;75,35
25200;75,35
26100;75,35
27000;75,35
27900;75,35
28800;75,35
29700;75,35
30600;75,35
31500;75,35
32400;75,35
33300;75,35
34200;75,35
35100;75,35
36000;75,35
36900;75,35
37800;75,35
38700;75,35
39600;75,35
40500;75,35
41400;75,35
42300;75,35
43200;75,35
44100;75,35
45000;75,35
45900;75,35
46800;75,35
47700;75,35
48600;75,35
49500;75,35
50400;75,35
51300;75,35
52200;75,35
53100;75,35
54000;75,35
54900;75,35
55800;75,35
56700;75,35
57600;75,35
58500;75,35
59400;75,35
60300;75,35
61200;75,35
62100;75,35
63000;75,35
63900;75,35
64800;75,35
65700;75,35
66600;75,35
67500;75,35
68400;75,35
69300;75,35
70200;75,35
71100;75,35
72000;75,35
72900;75,35
73800;75,35
74700;75,35
75600;75,35
76500;75,35
77400;75,35
78300;75,35
79200;75,35
80100;75,35
81000;75,35
81900;75,35
82800;75,35
83700;75,35
84600;75,35
85500;75,35
86400;75,35
87300;75,35
88200;75,35
89100;75,35
90000;75,35
90900;75,35
91800;75,35
92700;75,35
93600;75,35
94500;75,35
95400;75,35
96300;75,35
97200;75,35
98100;75,35
99000;75,35
99900;75,35
100800;75,35
101700;75,35
102600;75,35
103500;75,35
104400;75,35
105300;75,35
106200;75,35
107100;75,35
108000;75,35
108900;75,35
109800;75,35
110700;75,35
111600;75,35
112500;75,35
113400;75,35
114300;75,35
115200;75,35
116100;75,35
117000;75,35
117900;75,35
118800;75,35
119700;75,35
120600;75,35
121500;75,35
122400;75,35
123300;75,35
124200;75,35
125100;75,35
126000;75,35
126900;75,35
127800;75,35
128700;75,35
129600;75,35
130500;75,35
131400;75,35
132300;75,35
133200;75,35
134100;75,35
135000;75,35
135900;75,35
136800;75,35
137700;75,35
138600;75,35
139500;75,35
140400;75,35
141300;75,35
142200;75,35
143100;75,35
144000;75,35
144900;75,35
145800;75,35
146700;75,35
