timestep;germersheim_power
01.01.2024 00:00;941112,2843
01.01.2024 01:00;937460,0049
01.01.2024 02:00;936900,6027
01.01.2024 03:00;937932,829
01.01.2024 04:00;2027568,336
01.01.2024 05:00;3156620,241
01.01.2024 06:00;3903446,609
01.01.2024 07:00;4495477,009
01.01.2024 08:00;4256048,892
01.01.2024 09:00;4948194,665
01.01.2024 10:00;4607693,162
01.01.2024 11:00;4592956,288
01.01.2024 12:00;4528563,163
01.01.2024 13:00;4198494,087
01.01.2024 14:00;4165317,341
01.01.2024 15:00;4028401,789
01.01.2024 16:00;3899737,21
01.01.2024 17:00;2521470,838
01.01.2024 18:00;2156755,628
01.01.2024 19:00;2112880,269
01.01.2024 20:00;2096941,314
01.01.2024 21:00;961216,6236
01.01.2024 22:00;949656,3689
01.01.2024 23:00;938054,1472
02.01.2024 00:00;940778,515
02.01.2024 01:00;937638,8122
02.01.2024 02:00;942504,7251
02.01.2024 03:00;935921,4013
02.01.2024 04:00;2053801,992
02.01.2024 05:00;3147054,272
02.01.2024 06:00;3935699,758
02.01.2024 07:00;4451489,51
02.01.2024 08:00;4260168,538
02.01.2024 09:00;5204871,944
02.01.2024 10:00;4245229,047
02.01.2024 11:00;4452701,362
02.01.2024 12:00;4969832,311
02.01.2024 13:00;4174345,165
02.01.2024 14:00;4154582,758
02.01.2024 15:00;4084603,538
02.01.2024 16:00;3911484,883
02.01.2024 17:00;2528158,961
02.01.2024 18:00;2177363,09
02.01.2024 19:00;2117394,712
02.01.2024 20:00;2095191,799
02.01.2024 21:00;956805,3664
02.01.2024 22:00;943874,9275
02.01.2024 23:00;947755,2366
03.01.2024 00:00;940873,4111
03.01.2024 01:00;930155,5124
03.01.2024 02:00;932202,9183
03.01.2024 03:00;932277,5256
03.01.2024 04:00;2035656,892
03.01.2024 05:00;3161111,904
03.01.2024 06:00;3919377,831
03.01.2024 07:00;4487449,639
03.01.2024 08:00;4303948,039
03.01.2024 09:00;5145319,794
03.01.2024 10:00;3371049,528
03.01.2024 11:00;4247848,303
03.01.2024 12:00;4885659,113
03.01.2024 13:00;4765145,785
03.01.2024 14:00;4035879,539
03.01.2024 15:00;4094434,796
03.01.2024 16:00;3925913,082
03.01.2024 17:00;2494578,454
03.01.2024 18:00;2178345,58
03.01.2024 19:00;2118158,393
03.01.2024 20:00;2099203,226
03.01.2024 21:00;961805,7112
03.01.2024 22:00;945234,0998
03.01.2024 23:00;937148,9774
04.01.2024 00:00;943487,9421
04.01.2024 01:00;938628,1982
04.01.2024 02:00;936530,1748
04.01.2024 03:00;934503,1944
04.01.2024 04:00;945977,8231
04.01.2024 05:00;948940,7103
04.01.2024 06:00;961419,8606
04.01.2024 07:00;1028789,995
04.01.2024 08:00;1118082,106
04.01.2024 09:00;1117237,387
04.01.2024 10:00;1126079,54
04.01.2024 11:00;1117792,019
04.01.2024 12:00;1116750,512
