DELIVERY_DATE;TYPE_OF_RESERVES;PRODUCT;GERMANY_MIN_ENERGY_PRICE_[EUR/MWh];GERMANY_AVERAGE_ENERGY_PRICE_[EUR/MWh];GERMANY_MARGINAL_ENERGY_PRICE_[EUR/MWh];GERMANY_SUM_OF_OFFERED_CAPACITY_[MW];NOTE
01.01.2024;aFRR;NEG_001;-8,34;-740,45;-15000,00;1950,00;
01.01.2024;aFRR;NEG_002;-8,34;-707,45;-15000,00;1952,00;
01.01.2024;aFRR;NEG_003;-8,34;-700,54;-15000,00;1952,00;
01.01.2024;aFRR;NEG_004;-8,34;-702,30;-15000,00;1951,00;
01.01.2024;aFRR;NEG_005;-8,34;-690,64;-15000,00;1951,00;
01.01.2024;aFRR;NEG_006;-8,34;-698,65;-15000,00;1951,00;
01.01.2024;aFRR;NEG_007;-8,34;-706,89;-15000,00;1951,00;
01.01.2024;aFRR;NEG_008;-8,34;-705,37;-15000,00;1951,00;
01.01.2024;aFRR;NEG_009;-10,00;-703,09;-15000,00;1950,00;
01.01.2024;aFRR;NEG_010;-10,00;-702,98;-15000,00;1950,00;
01.01.2024;aFRR;NEG_011;-10,00;-702,83;-15000,00;1950,00;
01.01.2024;aFRR;NEG_012;-10,00;-702,11;-15000,00;1949,00;
01.01.2024;aFRR;NEG_013;-10,00;-702,59;-15000,00;1950,00;
01.01.2024;aFRR;NEG_014;-10,00;-702,58;-15000,00;1950,00;
01.01.2024;aFRR;NEG_015;-10,00;-702,37;-15000,00;1950,00;
01.01.2024;aFRR;NEG_016;-10,00;-701,73;-15000,00;1949,00;
01.01.2024;aFRR;NEG_017;-10,00;-750,52;-15000,00;1864,00;
01.01.2024;aFRR;NEG_018;-10,00;-762,53;-15000,00;1865,00;
01.01.2024;aFRR;NEG_019;-10,00;-763,28;-15000,00;1865,00;
01.01.2024;aFRR;NEG_020;-10,00;-763,61;-15000,00;1865,00;
01.01.2024;aFRR;NEG_021;-10,00;-762,69;-15000,00;1867,00;
