timestep;aFRR_neg_cap_EUR_MW_h
0;21.3
900;21.3
1800;21.3
2700;21.3
3600;21.3
4500;21.3
5400;21.3
6300;21.3
7200;21.3
8100;21.3
9000;21.3
9900;21.3
10800;21.3
11700;21.3
12600;21.3
13500;21.3
14400;19.54
15300;19.54
16200;19.54
17100;19.54
18000;19.54
18900;19.54
19800;19.54
20700;19.54
21600;19.54
22500;19.54
23400;19.54
24300;19.54
25200;19.54
26100;19.54
27000;19.54
27900;19.54
28800;12.57
29700;12.57
30600;12.57
31500;12.57
32400;12.57
33300;12.57
34200;12.57
35100;12.57
36000;12.57
36900;12.57
37800;12.57
38700;12.57
39600;12.57
40500;12.57
41400;12.57
42300;12.57
43200;14.37
44100;14.37
45000;14.37
45900;14.37
46800;14.37
47700;14.37
48600;14.37
49500;14.37
50400;14.37
51300;14.37
52200;14.37
53100;14.37
54000;14.37
54900;14.37
55800;14.37
56700;14.37
57600;5.62
58500;5.62
59400;5.62
60300;5.62
61200;5.62
62100;5.62
63000;5.62
63900;5.62
64800;5.62
65700;5.62
66600;5.62
67500;5.62
68400;5.62
69300;5.62
70200;5.62
71100;5.62
72000;8.06
72900;8.06
73800;8.06
74700;8.06
75600;8.06
76500;8.06
77400;8.06
78300;8.06
79200;8.06
80100;8.06
81000;8.06
81900;8.06
82800;8.06
83700;8.06
84600;8.06
85500;8.06
86400;17.96
87300;17.96
88200;17.96
89100;17.96
90000;17.96
90900;17.96
91800;17.96
92700;17.96
93600;17.96
94500;17.96
95400;17.96
96300;17.96
97200;17.96
98100;17.96
99000;17.96
99900;17.96
100800;16.76
101700;16.76
102600;16.76
103500;16.76
104400;16.76
105300;16.76
106200;16.76
107100;16.76
108000;16.76
108900;16.76
109800;16.76
110700;16.76
111600;16.76
112500;16.76
113400;16.76
114300;16.76
115200;9.1
116100;9.1
117000;9.1
117900;9.1
118800;9.1
119700;9.1
120600;9.1
121500;9.1
122400;9.1
123300;9.1
124200;9.1
125100;9.1
126000;9.1
126900;9.1
127800;9.1
128700;9.1
129600;10.55
130500;10.55
131400;10.55
132300;10.55
133200;10.55
134100;10.55
135000;10.55
135900;10.55
136800;10.55
137700;10.55
138600;10.55
139500;10.55
140400;10.55
141300;10.55
142200;10.55
143100;10.55
144000;4.98
144900;4.98
145800;4.98
146700;4.98
147600;4.98
148500;4.98
149400;4.98
150300;4.98
151200;4.98
152100;4.98
153000;4.98
153900;4.98
154800;4.98
155700;4.98
156600;4.98
157500;4.98
158400;7.6
159300;7.6
160200;7.6
161100;7.6
162000;7.6
162900;7.6
163800;7.6
164700;7.6
165600;7.6
166500;7.6
167400;7.6
168300;7.6
169200;7.6
170100;7.6
171000;7.6
171900;7.6
172800;23.44
173700;23.44
174600;23.44
175500;23.44
176400;23.44
177300;23.44
178200;23.44
179100;23.44
180000;23.44
180900;23.44
181800;23.44
182700;23.44
183600;23.44
184500;23.44
185400;23.44
186300;23.44
187200;19.95
188100;19.95
189000;19.95
189900;19.95
190800;19.95
191700;19.95
192600;19.95
193500;19.95
194400;19.95
195300;19.95
196200;19.95
197100;19.95
198000;19.95
198900;19.95
199800;19.95
200700;19.95
201600;8.48
202500;8.48
203400;8.48
204300;8.48
205200;8.48
206100;8.48
207000;8.48
207900;8.48
208800;8.48
209700;8.48
210600;8.48
211500;8.48
212400;8.48
213300;8.48
214200;8.48
215100;8.48
216000;9.99
216900;9.99
217800;9.99
218700;9.99
219600;9.99
220500;9.99
221400;9.99
222300;9.99
223200;9.99
224100;9.99
225000;9.99
225900;9.99
226800;9.99
227700;9.99
228600;9.99
229500;9.99
230400;4.52
231300;4.52
232200;4.52
233100;4.52
234000;4.52
234900;4.52
235800;4.52
236700;4.52
237600;4.52
238500;4.52
239400;4.52
240300;4.52
241200;4.52
242100;4.52
243000;4.52
243900;4.52
244800;6.7
245700;6.7
246600;6.7
247500;6.7
248400;6.7
249300;6.7
250200;6.7
251100;6.7
252000;6.7
252900;6.7
253800;6.7
254700;6.7
255600;6.7
256500;6.7
257400;6.7
258300;6.7
259200;20.45
260100;20.45
261000;20.45
261900;20.45
262800;20.45
263700;20.45
264600;20.45
265500;20.45
266400;20.45
267300;20.45
268200;20.45
269100;20.45
270000;20.45
270900;20.45
271800;20.45
272700;20.45
273600;17.8
274500;17.8
275400;17.8
276300;17.8
277200;17.8
278100;17.8
279000;17.8
279900;17.8
280800;17.8
281700;17.8
282600;17.8
283500;17.8
284400;17.8
285300;17.8
286200;17.8
287100;17.8
288000;7.13
288900;7.13
289800;7.13
290700;7.13
291600;7.13
292500;7.13
293400;7.13
294300;7.13
295200;7.13
296100;7.13
297000;7.13
297900;7.13
298800;7.13
299700;7.13
300600;7.13
301500;7.13
302400;8.25
303300;8.25
304200;8.25
