timestep;aFRR_neg_energy_EUR_MWh
0;-740.45
900;-707.45
1800;-700.54
2700;-702.3
3600;-690.64
4500;-698.65
5400;-706.89
6300;-705.37
7200;-703.09
8100;-702.98
9000;-702.83
9900;-702.11
10800;-702.59
11700;-702.58
12600;-702.37
13500;-701.73
14400;-750.52
15300;-762.53
16200;-763.28
17100;-763.61
18000;-762.69
18900;-762.25
19800;-762.32
20700;-762.46
21600;-854.38
22500;-864.24
23400;-864.2
24300;-864.17
25200;-865.32
26100;-866.36
27000;-865.98
27900;-866.39
28800;-1032.9
29700;-1057.02
30600;-1059.9
31500;-1059.77
32400;-1061.66
33300;-1063.12
34200;-1066.51
35100;-1065.88
36000;-1061.92
36900;-1060.63
37800;-1060.54
38700;-1508.64
39600;-1067.17
40500;-1056.36
41400;-1055.83
42300;-1052.19
43200;-972.75
44100;-966.21
45000;-965.14
45900;-964.31
46800;-964.22
47700;-1413.93
48600;-989.07
49500;-1496.99
50400;-993.17
51300;-965.61
52200;-963.83
53100;-963.8
54000;-965.46
54900;-967.47
55800;-967.34
56700;-968.33
57600;-1031.42
58500;-1041.45
59400;-979.14
60300;-966.96
61200;-1009.71
62100;-971.24
63000;-963.02
63900;-962.12
64800;-961.87
65700;-962.16
66600;-961.61
67500;-961.61
68400;-832.42
69300;-826.45
70200;-825.95
71100;-878.05
72000;-839.35
72900;-834.25
73800;-838.81
74700;-836.47
75600;-833.2
76500;-834.51
77400;-835.17
78300;-838.88
79200;-833.25
80100;-863.25
81000;-898.06
81900;-895.51
82800;-893.44
83700;-892.89
84600;-888.41
85500;-883.21
86400;-793.29
87300;-771.74
88200;-772.45
89100;-778.93
90000;-779.52
90900;-779.65
91800;-778.42
92700;-777.65
93600;-756.57
94500;-767.67
95400;-771.03
96300;-770.42
97200;-770.54
98100;-770.16
99000;-769.93
99900;-770.81
100800;-759.77
101700;-758.81
102600;-757.81
103500;-753.84
104400;-757.69
105300;-755.04
106200;-758.34
107100;-758.47
108000;-859.26
108900;-863.24
109800;-981.55
110700;-986.35
111600;-1000.73
112500;-1004.89
113400;-993.08
114300;-862.34
115200;-626.07
116100;-598.54
117000;-595.83
117900;-594.65
118800;-669.67
119700;-665.36
120600;-659.51
121500;-668.81
122400;-667.46
