Datum von;timestep;Börsenpreis_EUR_MWh
01.01.2024 00:00;0;0,10
01.01.2024 00:15;900;0,10
01.01.2024 00:30;1800;0,10
01.01.2024 00:45;2700;0,10
01.01.2024 01:00;3600;0,01
01.01.2024 01:15;4500;0,01
01.01.2024 01:30;5400;0,01
01.01.2024 01:45;6300;0,01
01.01.2024 02:00;7200;0,00
01.01.2024 02:15;8100;0,00
01.01.2024 02:30;9000;0,00
01.01.2024 02:45;9900;0,00
01.01.2024 03:00;10800;-0,01
01.01.2024 03:15;11700;-0,01
01.01.2024 03:30;12600;-0,01
01.01.2024 03:45;13500;-0,01
01.01.2024 04:00;14400;-0,03
01.01.2024 04:15;15300;-0,03
01.01.2024 04:30;16200;-0,03
01.01.2024 04:45;17100;-0,03
01.01.2024 05:00;18000;-0,02
01.01.2024 05:15;18900;-0,02
01.01.2024 05:30;19800;-0,02
01.01.2024 05:45;20700;-0,02
01.01.2024 06:00;21600;-0,05
01.01.2024 06:15;22500;-0,05
01.01.2024 06:30;23400;-0,05
01.01.2024 06:45;24300;-0,05
01.01.2024 07:00;25200;-0,02
01.01.2024 07:15;26100;-0,02
01.01.2024 07:30;27000;-0,02
01.01.2024 07:45;27900;-0,02
01.01.2024 08:00;28800;0,00
01.01.2024 08:15;29700;0,00
01.01.2024 08:30;30600;0,00
01.01.2024 08:45;31500;0,00
01.01.2024 09:00;32400;0,04
01.01.2024 09:15;33300;0,04
01.01.2024 09:30;34200;0,04
01.01.2024 09:45;35100;0,04
01.01.2024 10:00;36000;0,06
01.01.2024 10:15;36900;0,06
01.01.2024 10:30;37800;0,06
01.01.2024 10:45;38700;0,06
01.01.2024 11:00;39600;0,54
01.01.2024 11:15;40500;0,54
01.01.2024 11:30;41400;0,54
01.01.2024 11:45;42300;0,54
01.01.2024 12:00;43200;2,24
01.01.2024 12:15;44100;2,24
01.01.2024 12:30;45000;2,24
01.01.2024 12:45;45900;2,24
01.01.2024 13:00;46800;1,96
01.01.2024 13:15;47700;1,96
01.01.2024 13:30;48600;1,96
01.01.2024 13:45;49500;1,96
01.01.2024 14:00;50400;1,04
01.01.2024 14:15;51300;1,04
01.01.2024 14:30;52200;1,04
01.01.2024 14:45;53100;1,04
01.01.2024 15:00;54000;3,66
01.01.2024 15:15;54900;3,66
01.01.2024 15:30;55800;3,66
01.01.2024 15:45;56700;3,66
01.01.2024 16:00;57600;43,06
01.01.2024 16:15;58500;43,06
01.01.2024 16:30;59400;43,06
01.01.2024 16:45;60300;43,06
01.01.2024 17:00;61200;49,93
01.01.2024 17:15;62100;49,93
01.01.2024 17:30;63000;49,93
01.01.2024 17:45;63900;49,93
01.01.2024 18:00;64800;58,00
01.01.2024 18:15;65700;58,00
01.01.2024 18:30;66600;58,00
01.01.2024 18:45;67500;58,00
01.01.2024 19:00;68400;54,25
01.01.2024 19:15;69300;54,25
01.01.2024 19:30;70200;54,25
01.01.2024 19:45;71100;54,25
01.01.2024 20:00;72000;48,01
01.01.2024 20:15;72900;48,01
01.01.2024 20:30;73800;48,01
01.01.2024 20:45;74700;48,01
01.01.2024 21:00;75600;42,95
01.01.2024 21:15;76500;42,95
01.01.2024 21:30;77400;42,95
01.01.2024 21:45;78300;42,95
01.01.2024 22:00;79200;47,09
01.01.2024 22:15;80100;47,09
01.01.2024 22:30;81000;47,09
01.01.2024 22:45;81900;47,09
01.01.2024 23:00;82800;35,55
01.01.2024 23:15;83700;35,55
01.01.2024 23:30;84600;35,55
01.01.2024 23:45;85500;35,55
02.01.2024 00:00;86400;30,59
02.01.2024 00:15;87300;30,59
02.01.2024 00:30;88200;30,59
02.01.2024 00:45;89100;30,59
02.01.2024 01:00;90000;20,07
02.01.2024 01:15;90900;20,07
02.01.2024 01:30;91800;20,07
02.01.2024 01:45;92700;20,07
02.01.2024 02:00;93600;31,03
02.01.2024 02:15;94500;31,03
02.01.2024 02:30;95400;31,03
02.01.2024 02:45;96300;31,03
02.01.2024 03:00;97200;18,39
02.01.2024 03:15;98100;18,39
02.01.2024 03:30;99000;18,39
02.01.2024 03:45;99900;18,39
02.01.2024 04:00;100800;11,08
02.01.2024 04:15;101700;11,08
02.01.2024 04:30;102600;11,08
02.01.2024 04:45;103500;11,08
02.01.2024 05:00;104400;13,78
02.01.2024 05:15;105300;13,78
02.01.2024 05:30;106200;13,78
02.01.2024 05:45;107100;13,78
02.01.2024 06:00;108000;47,63
02.01.2024 06:15;108900;47,63
02.01.2024 06:30;109800;47,63
02.01.2024 06:45;110700;47,63
02.01.2024 07:00;111600;58,10
02.01.2024 07:15;112500;58,10
02.01.2024 07:30;113400;58,10
02.01.2024 07:45;114300;58,10
02.01.2024 08:00;115200;65,67
02.01.2024 08:15;116100;65,67
02.01.2024 08:30;117000;65,67
02.01.2024 08:45;117900;65,67
02.01.2024 09:00;118800;64,73
02.01.2024 09:15;119700;64,73
02.01.2024 09:30;120600;64,73
02.01.2024 09:45;121500;64,73
02.01.2024 10:00;122400;68,98
02.01.2024 10:15;123300;68,98
02.01.2024 10:30;124200;68,98
02.01.2024 10:45;125100;68,98
02.01.2024 11:00;126000;73,54
02.01.2024 11:15;126900;73,54
02.01.2024 11:30;127800;73,54
02.01.2024 11:45;128700;73,54
02.01.2024 12:00;129600;78,16
02.01.2024 12:15;130500;78,16
02.01.2024 12:30;131400;78,16
02.01.2024 12:45;132300;78,16
02.01.2024 13:00;133200;78,87
02.01.2024 13:15;134100;78,87
02.01.2024 13:30;135000;78,87
