"Date";"Kernenergie";"Braunkohle";"Steinkohle";"Gas";"Sonstige Konventionelle";"Photovoltaik";"Wind";"Wasserkraft";"Biomasse";"Sonstige Erneuerbare";"Missing Data";"CO₂-Intensität";"Missing Data Line"
"2024-01-01T00:00:00.000Z";"0";"2.547,581";"1.076,633";"976,769";"512,084";"0";"0";"0";"14,954";"0,374";"0";"130,756";"0"
"2024-01-01T01:00:00.000Z";"0";"2.505,953";"1.047,387";"968,603";"486,538";"0";"0";"0";"14,667";"0,376";"0";"131,373";"0"
"2024-01-01T02:00:00.000Z";"0";"2.546,473";"1.049,456";"979,138";"482,765";"0";"0";"0";"14,68";"0,4";"0";"135,247";"0"
"2024-01-01T03:00:00.000Z";"0";"2.563,162";"1.060,193";"969,896";"463,346";"0";"0";"0";"14,714";"0,428";"0";"136,577";"0"
"2024-01-01T04:00:00.000Z";"0";"2.587,332";"1.073,186";"988,799";"441,506";"0";"0";"0";"15,008";"0,416";"0";"136,395";"0"
"2024-01-01T05:00:00.000Z";"0";"2.594,437";"1.063,928";"987,419";"460,007";"0";"0";"0";"15,063";"0,423";"0";"137,976";"0"
"2024-01-01T06:00:00.000Z";"0";"2.626,106";"1.091,387";"996,708";"451,034";"0";"0";"0";"15,595";"0,421";"0";"137,352";"0"
"2024-01-01T07:00:00.000Z";"0";"2.602,657";"1.074,086";"987,18";"431,734";"0";"0";"0";"15,782";"0,419";"0";"133,153";"0"
"2024-01-01T08:00:00.000Z";"0";"2.644,804";"1.076,052";"975,09";"358,531";"0";"0";"0";"16,012";"0,434";"0";"125,626";"0"
"2024-01-01T09:00:00.000Z";"0";"2.666,059";"1.102,015";"976,896";"359,665";"0";"0";"0";"15,757";"0,375";"0";"119,813";"0"
"2024-01-01T10:00:00.000Z";"0";"2.653,51";"1.157,057";"979,379";"360,501";"0";"0";"0";"16,103";"0,348";"0";"114,107";"0"
"2024-01-01T11:00:00.000Z";"0";"2.712,321";"1.188,677";"1.018,795";"411,291";"0";"0";"0";"16,261";"0,383";"0";"115,524";"0"
"2024-01-01T12:00:00.000Z";"0";"2.731,97";"1.197,282";"1.022,614";"492,149";"0";"0";"0";"16,337";"0,374";"0";"119,453";"0"
"2024-01-01T13:00:00.000Z";"0";"2.896,64";"1.222,209";"1.071,464";"518,022";"0";"0";"0";"16,829";"0,341";"0";"126,226";"0"
"2024-01-01T14:00:00.000Z";"0";"3.003,191";"1.296,404";"1.154,091";"444,79";"0";"0";"0";"17,895";"0,386";"0";"130,309";"0"
"2024-01-01T15:00:00.000Z";"0";"3.084,112";"1.404,03";"1.387,628";"470,607";"0";"0";"0";"19,008";"0,417";"0";"134,461";"0"
"2024-01-01T16:00:00.000Z";"0";"3.273,172";"1.515,427";"1.527,246";"499,502";"0";"0";"0";"19,813";"0,469";"0";"135,055";"0"
"2024-01-01T17:00:00.000Z";"0";"3.240,493";"1.531,88";"1.507,212";"471,921";"0";"0";"0";"19,764";"0,452";"0";"133,56";"0"
"2024-01-01T18:00:00.000Z";"0";"3.372,203";"1.569,959";"1.450,423";"438,233";"0";"0";"0";"20,159";"0,41";"0";"138,102";"0"
"2024-01-01T19:00:00.000Z";"0";"3.357,044";"1.512,76";"1.394,425";"477,02";"0";"0";"0";"19,648";"0,423";"0";"142,21";"0"
"2024-01-01T20:00:00.000Z";"0";"3.265,408";"1.473,58";"1.401,433";"489,528";"0";"0";"0";"19,384";"0,457";"0";"145,823";"0"
"2024-01-01T21:00:00.000Z";"0";"3.273,114";"1.371,115";"1.353,596";"574,789";"0";"0";"0";"18,91";"0,49";"0";"149,432";"0"
"2024-01-01T22:00:00.000Z";"0";"3.260,629";"1.274,449";"1.337,469";"581,531";"0";"0";"0";"18,498";"0,566";"0";"156,036";"0"
"2024-01-01T23:00:00.000Z";"0";"2.973,189";"1.165,332";"1.301,291";"621,58";"0";"0";"0";"17,378";"0,475";"0";"156,709";"0"
"2024-01-02T00:00:00.000Z";"0";"2.862,472";"1.132,762";"1.248,861";"633,905";"0";"0";"0";"16,779";"0,393";"0";"157,35";"0"
"2024-01-02T01:00:00.000Z";"0";"2.846,775";"1.146,106";"1.279,645";"691,709";"0";"0";"0";"16,733";"0,423";"0";"159,836";"0"
"2024-01-02T02:00:00.000Z";"0";"2.742,225";"1.170,525";"1.275,327";"706,522";"0";"0";"0";"16,262";"0,38";"0";"156,648";"0"
"2024-01-02T03:00:00.000Z";"0";"2.722,445";"1.195,269";"1.314,162";"732,096";"0";"0";"0";"16,262";"0,343";"0";"150,272";"0"
"2024-01-02T04:00:00.000Z";"0";"2.741,602";"1.243,756";"1.451,367";"734,466";"0";"0";"0";"16,533";"0,338";"0";"144,312";"0"
"2024-01-02T05:00:00.000Z";"0";"2.837,242";"1.376,061";"1.681,009";"640,715";"0";"0";"0";"17,792";"0,389";"0";"135,96";"0"
"2024-01-02T06:00:00.000Z";"0";"2.916,042";"1.478,896";"1.984,23";"674,88";"0";"0";"0";"19,006";"0,426";"0";"133,219";"0"
"2024-01-02T07:00:00.000Z";"0";"3.014,863";"1.577,476";"2.330,962";"657,099";"0";"0";"0";"19,806";"0,492";"0";"134,241";"0"
"2024-01-02T08:00:00.000Z";"0";"3.321,4";"1.618,603";"2.505,901";"545,395";"0";"0";"0";"20,058";"0,558";"0";"136,903";"0"
"2024-01-02T09:00:00.000Z";"0";"3.700,022";"1.672,976";"2.597,888";"544,963";"0";"0";"0";"20,631";"0,605";"0";"142,008";"0"
"2024-01-02T10:00:00.000Z";"0";"4.147,075";"1.726,26";"2.679,715";"573,277";"0";"0";"0";"21,026";"0,645";"0";"148,607";"0"
"2024-01-02T11:00:00.000Z";"0";"4.534,154";"1.714,574";"2.721,273";"576,465";"0";"0";"0";"20,813";"0,642";"0";"154,554";"0"
"2024-01-02T12:00:00.000Z";"0";"4.529,297";"1.805,222";"2.712,435";"598,953";"0";"0";"0";"21,674";"0,642";"0";"157,889";"0"
"2024-01-02T13:00:00.000Z";"0";"4.670,118";"1.723,446";"2.696,021";"590,907";"0";"0";"0";"21,39";"0,642";"0";"160,846";"0"
"2024-01-02T14:00:00.000Z";"0";"4.400,577";"1.744,559";"2.787,502";"599,32";"0";"0";"0";"22,31";"0,646";"0";"157,484";"0"
"2024-01-02T15:00:00.000Z";"0";"4.412,499";"1.730,312";"2.840,978";"591,255";"0";"0";"0";"22,666";"0,64";"0";"154,72";"0"
"2024-01-02T16:00:00.000Z";"0";"4.315,105";"1.762,625";"2.863,353";"598,01";"0";"0";"0";"22,902";"0,648";"0";"149,411";"0"
"2024-01-02T17:00:00.000Z";"0";"4.218,344";"1.694,739";"2.750,594";"569,152";"0";"0";"0";"21,878";"0,635";"0";"145,294";"0"
"2024-01-02T18:00:00.000Z";"0";"3.695,86";"1.579,354";"2.502,399";"547,045";"0";"0";"0";"20,29";"0,591";"0";"134,987";"0"
"2024-01-02T19:00:00.000Z";"0";"3.265,88";"1.483,626";"2.109,252";"611,54";"0";"0";"0";"18,891";"0,527";"0";"127,67";"0"
"2024-01-02T20:00:00.000Z";"0";"2.896,092";"1.403,996";"1.824,028";"579,934";"0";"0";"0";"17,759";"0,459";"0";"121,54";"0"
"2024-01-02T21:00:00.000Z";"0";"2.921,075";"1.356,12";"1.553,297";"514,881";"0";"0";"0";"17,212";"0,416";"0";"121,147";"0"
"2024-01-02T22:00:00.000Z";"0";"2.868,213";"1.278,352";"1.356,785";"455,605";"0";"0";"0";"16,251";"0,372";"0";"120,589";"0"
"2024-01-02T23:00:00.000Z";"0";"2.678,073";"1.255,995";"1.256,593";"514,186";"0";"0";"0";"15,681";"0,318";"0";"122,789";"0"
"2024-01-03T00:00:00.000Z";"0";"2.563,439";"1.192,869";"1.184,976";"528,353";"0";"0";"0";"15,087";"0,29";"0";"122,525";"0"
"2024-01-03T01:00:00.000Z";"0";"2.555,079";"1.172,242";"1.195,943";"473,61";"0";"0";"0";"14,823";"0,311";"0";"123,807";"0"
"2024-01-03T02:00:00.000Z";"0";"2.543,598";"1.181,97";"1.189,839";"473,965";"0";"0";"0";"14,89";"0,315";"0";"122,628";"0"
"2024-01-03T03:00:00.000Z";"0";"2.579,507";"1.215,601";"1.220,046";"496,391";"0";"0";"0";"15,136";"0,312";"0";"121,464";"0"
"2024-01-03T04:00:00.000Z";"0";"2.584,642";"1.248,053";"1.328,561";"602,188";"0";"0";"0";"15,437";"0,296";"0";"119,391";"0"
"2024-01-03T05:00:00.000Z";"0";"2.713,832";"1.370,342";"1.522,244";"564,151";"0";"0";"0";"16,44";"0,3";"0";"114,084";"0"
"2024-01-03T06:00:00.000Z";"0";"2.879,103";"1.554,438";"1.782,907";"514,821";"0";"0";"0";"17,904";"0,351";"0";"114,799";"0"
"2024-01-03T07:00:00.000Z";"0";"2.977,773";"1.617,279";"2.046,602";"517,009";"0";"0";"0";"18,815";"0,405";"0";"116,563";"0"
"2024-01-03T08:00:00.000Z";"0";"3.133,601";"1.619,567";"2.155,76";"515,04";"0";"0";"0";"18,808";"0,449";"0";"118,358";"0"
"2024-01-03T09:00:00.000Z";"0";"2.954,745";"1.597,583";"2.088,054";"528,21";"0";"0";"0";"18,063";"0,48";"0";"112,811";"0"
"2024-01-03T10:00:00.000Z";"0";"2.940,484";"1.591,828";"2.032,588";"525,61";"0";"0";"0";"17,963";"0,476";"0";"109,224";"0"
"2024-01-03T11:00:00.000Z";"0";"2.952,214";"1.585,555";"2.008,695";"550,209";"0";"0";"0";"17,943";"0,502";"0";"109,274";"0"
"2024-01-03T12:00:00.000Z";"0";"3.025,107";"1.557,42";"2.088,849";"549,701";"0";"0";"0";"17,765";"0,517";"0";"113,607";"0"
"2024-01-03T13:00:00.000Z";"0";"2.975,69";"1.595,085";"2.126,412";"558,059";"0";"0";"0";"18,332";"0,508";"0";"116,275";"0"
"2024-01-03T14:00:00.000Z";"0";"3.197,709";"1.637,999";"2.285,021";"606,679";"0";"0";"0";"19,296";"0,541";"0";"124,751";"0"
"2024-01-03T15:00:00.000Z";"0";"3.859,827";"1.762,5";"2.523,92";"633,074";"0";"0";"0";"20,174";"0,537";"0";"140,271";"0"
