# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 49.248, 8.370 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Paris, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Paris", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "49.24757510364582", "lon": "8.370169799619559", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "5592", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": "true"}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 01:00,0,0,0,2.919
2019-01-01 01:00,2019-01-01 02:00,0,0,0,2.916
2019-01-01 02:00,2019-01-01 03:00,0,0,0,2.947
2019-01-01 03:00,2019-01-01 04:00,0,0,0,2.858
2019-01-01 04:00,2019-01-01 05:00,0,0,0,2.701
2019-01-01 05:00,2019-01-01 06:00,0,0,0,2.541
2019-01-01 06:00,2019-01-01 07:00,0,0,0,2.452
2019-01-01 07:00,2019-01-01 08:00,0,0,0.003,2.424
2019-01-01 08:00,2019-01-01 09:00,49.272,0.002,0.025,2.722
2019-01-01 09:00,2019-01-01 10:00,187.254,0.005,0.052,3.280
2019-01-01 10:00,2019-01-01 11:00,474.991,0.017,0.097,3.933
2019-01-01 11:00,2019-01-01 12:00,731.080,0.039,0.125,4.740
2019-01-01 12:00,2019-01-01 13:00,686.616,0.037,0.118,5.303
2019-01-01 13:00,2019-01-01 14:00,196.108,0.005,0.053,5.226
2019-01-01 14:00,2019-01-01 15:00,4.359,0.001,0.015,4.916
2019-01-01 15:00,2019-01-01 16:00,0,0,0,4.728
2019-01-01 16:00,2019-01-01 17:00,0,0,0,4.591
2019-01-01 17:00,2019-01-01 18:00,0,0,0,4.520
2019-01-01 18:00,2019-01-01 19:00,0,0,0,4.518
2019-01-01 19:00,2019-01-01 20:00,0,0,0,4.344
2019-01-01 20:00,2019-01-01 21:00,0,0,0,3.878
2019-01-01 21:00,2019-01-01 22:00,0,0,0,3.154
2019-01-01 22:00,2019-01-01 23:00,0,0,0,2.556
2019-01-01 23:00,2019-01-02 00:00,0,0,0,1.962
2019-01-02 00:00,2019-01-02 01:00,0,0,0,1.085
2019-01-02 01:00,2019-01-02 02:00,0,0,0,0.173
2019-01-02 02:00,2019-01-02 03:00,0,0,0,-0.246
2019-01-02 03:00,2019-01-02 04:00,0,0,0,-0.285
2019-01-02 04:00,2019-01-02 05:00,0,0,0,-0.195
2019-01-02 05:00,2019-01-02 06:00,0,0,0,-0.309
2019-01-02 06:00,2019-01-02 07:00,0,0,0,-0.591
2019-01-02 07:00,2019-01-02 08:00,16.033,0.011,0.008,-0.649
2019-01-02 08:00,2019-01-02 09:00,883.690,0.134,0.056,0.208
2019-01-02 09:00,2019-01-02 10:00,1642.354,0.255,0.085,1.465
2019-01-02 10:00,2019-01-02 11:00,2177.465,0.355,0.098,2.801
2019-01-02 11:00,2019-01-02 12:00,2315.158,0.383,0.102,3.746
2019-01-02 12:00,2019-01-02 13:00,1963.211,0.308,0.102,4.111
2019-01-02 13:00,2019-01-02 14:00,1317.849,0.190,0.088,3.929
2019-01-02 14:00,2019-01-02 15:00,553.061,0.077,0.051,3.079
2019-01-02 15:00,2019-01-02 16:00,0,0.007,0.006,1.299
2019-01-02 16:00,2019-01-02 17:00,0,0,0,0.193
2019-01-02 17:00,2019-01-02 18:00,0,0,0,-0.777
2019-01-02 18:00,2019-01-02 19:00,0,0,0,-1.746
2019-01-02 19:00,2019-01-02 20:00,0,0,0,-2.560
2019-01-02 20:00,2019-01-02 21:00,0,0,0,-3.143
2019-01-02 21:00,2019-01-02 22:00,0,0,0,-3.494
2019-01-02 22:00,2019-01-02 23:00,0,0,0,-3.713
2019-01-02 23:00,2019-01-03 00:00,0,0,0,-3.816
2019-01-03 00:00,2019-01-03 01:00,0,0,0,-3.826
2019-01-03 01:00,2019-01-03 02:00,0,0,0,-3.830
2019-01-03 02:00,2019-01-03 03:00,0,0,0,-3.818
2019-01-03 03:00,2019-01-03 04:00,0,0,0,-3.701
2019-01-03 04:00,2019-01-03 05:00,0,0,0,-3.565
2019-01-03 05:00,2019-01-03 06:00,0,0,0,-3.301
2019-01-03 06:00,2019-01-03 07:00,0,0,0,-3.037
2019-01-03 07:00,2019-01-03 08:00,3.588,0.007,0.009,-2.606
2019-01-03 08:00,2019-01-03 09:00,361.742,0.035,0.055,-1.046
2019-01-03 09:00,2019-01-03 10:00,664.206,0.052,0.096,0.071
2019-01-03 10:00,2019-01-03 11:00,751.985,0.049,0.117,1.127
2019-01-03 11:00,2019-01-03 12:00,665.451,0.035,0.115,1.674
2019-01-03 12:00,2019-01-03 13:00,600.322,0.031,0.106,2.031
2019-01-03 13:00,2019-01-03 14:00,403.059,0.021,0.078,2.083
2019-01-03 14:00,2019-01-03 15:00,188.854,0.014,0.043,1.355
2019-01-03 15:00,2019-01-03 16:00,0,0.001,0.004,0.055
2019-01-03 16:00,2019-01-03 17:00,0,0,0,-0.069
2019-01-03 17:00,2019-01-03 18:00,0,0,0,-0.073
2019-01-03 18:00,2019-01-03 19:00,0,0,0,-0.362
2019-01-03 19:00,2019-01-03 20:00,0,0,0,-0.721
2019-01-03 20:00,2019-01-03 21:00,0,0,0,-0.964
2019-01-03 21:00,2019-01-03 22:00,0,0,0,-1.248
2019-01-03 22:00,2019-01-03 23:00,0,0,0,-0.984
2019-01-03 23:00,2019-01-04 00:00,0,0,0,-0.744
2019-01-04 00:00,2019-01-04 01:00,0,0,0,-0.771
2019-01-04 01:00,2019-01-04 02:00,0,0,0,-0.946
2019-01-04 02:00,2019-01-04 03:00,0,0,0,-1.023
2019-01-04 03:00,2019-01-04 04:00,0,0,0,-1.127
2019-01-04 04:00,2019-01-04 05:00,0,0,0,-1.239
2019-01-04 05:00,2019-01-04 06:00,0,0,0,-1.178
2019-01-04 06:00,2019-01-04 07:00,0,0,0,-1.241
2019-01-04 07:00,2019-01-04 08:00,0,0.004,0.008,-1.059
2019-01-04 08:00,2019-01-04 09:00,290.124,0.024,0.052,-0.026
2019-01-04 09:00,2019-01-04 10:00,638.384,0.047,0.096,0.473
2019-01-04 10:00,2019-01-04 11:00,731.392,0.046,0.115,1.214
2019-01-04 11:00,2019-01-04 12:00,1072.897,0.090,0.138,2.007
2019-01-04 12:00,2019-01-04 13:00,886.863,0.068,0.125,2.460
2019-01-04 13:00,2019-01-04 14:00,331.935,0.014,0.071,2.205
2019-01-04 14:00,2019-01-04 15:00,58.215,0.003,0.026,1.280
2019-01-04 15:00,2019-01-04 16:00,0,0.001,0.004,0.516
2019-01-04 16:00,2019-01-04 17:00,0,0,0,0.439
2019-01-04 17:00,2019-01-04 18:00,0,0,0,0.536
2019-01-04 18:00,2019-01-04 19:00,0,0,0,0.467
2019-01-04 19:00,2019-01-04 20:00,0,0,0,0.273
2019-01-04 20:00,2019-01-04 21:00,0,0,0,0.097
2019-01-04 21:00,2019-01-04 22:00,0,0,0,0.215
2019-01-04 22:00,2019-01-04 23:00,0,0,0,0.253
2019-01-04 23:00,2019-01-05 00:00,0,0,0,0.215
2019-01-05 00:00,2019-01-05 01:00,0,0,0,0.228
2019-01-05 01:00,2019-01-05 02:00,0,0,0,0.230
2019-01-05 02:00,2019-01-05 03:00,0,0,0,0.276
2019-01-05 03:00,2019-01-05 04:00,0,0,0,0.189
2019-01-05 04:00,2019-01-05 05:00,0,0,0,-0.026
2019-01-05 05:00,2019-01-05 06:00,0,0,0,-0.041
2019-01-05 06:00,2019-01-05 07:00,0,0,0,0.013
2019-01-05 07:00,2019-01-05 08:00,0,0,0.002,0.177
2019-01-05 08:00,2019-01-05 09:00,34.231,0.002,0.022,0.643
2019-01-05 09:00,2019-01-05 10:00,206.773,0.005,0.055,1.623
2019-01-05 10:00,2019-01-05 11:00,316.354,0.007,0.076,2.635
2019-01-05 11:00,2019-01-05 12:00,270.052,0.005,0.069,3.377
2019-01-05 12:00,2019-01-05 13:00,285.607,0.006,0.071,3.884
2019-01-05 13:00,2019-01-05 14:00,233.630,0.006,0.060,4.049
2019-01-05 14:00,2019-01-05 15:00,78.111,0.003,0.030,3.886
2019-01-05 15:00,2019-01-05 16:00,0,0,0.003,3.542
2019-01-05 16:00,2019-01-05 17:00,0,0,0,3.358
2019-01-05 17:00,2019-01-05 18:00,0,0,0,3.306
2019-01-05 18:00,2019-01-05 19:00,0,0,0,3.348
2019-01-05 19:00,2019-01-05 20:00,0,0,0,3.376
2019-01-05 20:00,2019-01-05 21:00,0,0,0,3.377
2019-01-05 21:00,2019-01-05 22:00,0,0,0,3.349
2019-01-05 22:00,2019-01-05 23:00,0,0,0,3.270
2019-01-05 23:00,2019-01-06 00:00,0,0,0,3.181
2019-01-06 00:00,2019-01-06 01:00,0,0,0,3.085
2019-01-06 01:00,2019-01-06 02:00,0,0,0,3.001
2019-01-06 02:00,2019-01-06 03:00,0,0,0,2.950
2019-01-06 03:00,2019-01-06 04:00,0,0,0,2.882
2019-01-06 04:00,2019-01-06 05:00,0,0,0,2.784
2019-01-06 05:00,2019-01-06 06:00,0,0,0,2.672
2019-01-06 06:00,2019-01-06 07:00,0,0,0,2.569
2019-01-06 07:00,2019-01-06 08:00,0,0,0.003,2.517
2019-01-06 08:00,2019-01-06 09:00,61.786,0.003,0.027,2.769
2019-01-06 09:00,2019-01-06 10:00,209.180,0.005,0.056,3.159
2019-01-06 10:00,2019-01-06 11:00,313.980,0.007,0.075,3.575
2019-01-06 11:00,2019-01-06 12:00,363.719,0.008,0.084,3.981
2019-01-06 12:00,2019-01-06 13:00,316.666,0.007,0.076,4.245
2019-01-06 13:00,2019-01-06 14:00,221.768,0.006,0.058,4.271
2019-01-06 14:00,2019-01-06 15:00,86.696,0.004,0.032,3.942
2019-01-06 15:00,2019-01-06 16:00,0,0.001,0.003,3.190
2019-01-06 16:00,2019-01-06 17:00,0,0,0,2.871
2019-01-06 17:00,2019-01-06 18:00,0,0,0,2.487
2019-01-06 18:00,2019-01-06 19:00,0,0,0,2.077
2019-01-06 19:00,2019-01-06 20:00,0,0,0,1.789
2019-01-06 20:00,2019-01-06 21:00,0,0,0,1.540
2019-01-06 21:00,2019-01-06 22:00,0,0,0,1.261
2019-01-06 22:00,2019-01-06 23:00,0,0,0,1.088
2019-01-06 23:00,2019-01-07 00:00,0,0,0,1.090
2019-01-07 00:00,2019-01-07 01:00,0,0,0,1.104
2019-01-07 01:00,2019-01-07 02:00,0,0,0,1.009
2019-01-07 02:00,2019-01-07 03:00,0,0,0,0.807
2019-01-07 03:00,2019-01-07 04:00,0,0,0,0.669
2019-01-07 04:00,2019-01-07 05:00,0,0,0,0.362
2019-01-07 05:00,2019-01-07 06:00,0,0,0,0.053
2019-01-07 06:00,2019-01-07 07:00,0,0,0,-0.278
2019-01-07 07:00,2019-01-07 08:00,3.294,0.007,0.009,-0.408
2019-01-07 08:00,2019-01-07 09:00,505.816,0.060,0.059,1.067
2019-01-07 09:00,2019-01-07 10:00,1233.035,0.161,0.099,2.253
2019-01-07 10:00,2019-01-07 11:00,1855.511,0.272,0.115,3.584
2019-01-07 11:00,2019-01-07 12:00,1963.537,0.291,0.121,4.457
2019-01-07 12:00,2019-01-07 13:00,1664.472,0.233,0.117,4.729
2019-01-07 13:00,2019-01-07 14:00,1158.564,0.152,0.096,4.621
2019-01-07 14:00,2019-01-07 15:00,550.456,0.072,0.056,3.579
2019-01-07 15:00,2019-01-07 16:00,0,0.006,0.007,1.289
2019-01-07 16:00,2019-01-07 17:00,0,0,0,0.799
2019-01-07 17:00,2019-01-07 18:00,0,0,0,0.821
