# Renewables.ninja Wind power (Point API) - 49.248, 8.370 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Paris, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Paris", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": "true", "header": "true", "lat": "49.24757510364582", "lon": "8.370169799619559", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "8000", "height": "120", "turbine": "Vestas V136 4000", "raw": "true"}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2019-01-01 01:00,1219.949,5.030
2019-01-01 01:00,2019-01-01 02:00,1420.335,5.292
2019-01-01 02:00,2019-01-01 03:00,1660.237,5.579
2019-01-01 03:00,2019-01-01 04:00,1787.448,5.731
2019-01-01 04:00,2019-01-01 05:00,1976.203,5.933
2019-01-01 05:00,2019-01-01 06:00,2106.875,6.067
2019-01-01 06:00,2019-01-01 07:00,2220.314,6.179
2019-01-01 07:00,2019-01-01 08:00,2385.717,6.340
2019-01-01 08:00,2019-01-01 09:00,2463.359,6.412
2019-01-01 09:00,2019-01-01 10:00,2592.145,6.534
2019-01-01 10:00,2019-01-01 11:00,2580.822,6.523
2019-01-01 11:00,2019-01-01 12:00,2976.650,6.875
2019-01-01 12:00,2019-01-01 13:00,3457.878,7.296
2019-01-01 13:00,2019-01-01 14:00,3592.658,7.411
2019-01-01 14:00,2019-01-01 15:00,4037.804,7.786
2019-01-01 15:00,2019-01-01 16:00,4285.560,8.001
2019-01-01 16:00,2019-01-01 17:00,4386.280,8.087
2019-01-01 17:00,2019-01-01 18:00,4436.954,8.134
2019-01-01 18:00,2019-01-01 19:00,4515.351,8.203
2019-01-01 19:00,2019-01-01 20:00,4656.350,8.319
2019-01-01 20:00,2019-01-01 21:00,4851.847,8.502
2019-01-01 21:00,2019-01-01 22:00,4794.989,8.452
2019-01-01 22:00,2019-01-01 23:00,4727.631,8.391
2019-01-01 23:00,2019-01-02 00:00,4712.079,8.378
2019-01-02 00:00,2019-01-02 01:00,4529.617,8.215
2019-01-02 01:00,2019-01-02 02:00,4177.984,7.910
2019-01-02 02:00,2019-01-02 03:00,4201.241,7.929
2019-01-02 03:00,2019-01-02 04:00,4466.504,8.152
2019-01-02 04:00,2019-01-02 05:00,4869.441,8.514
2019-01-02 05:00,2019-01-02 06:00,4748.259,8.403
2019-01-02 06:00,2019-01-02 07:00,4510.700,8.199
2019-01-02 07:00,2019-01-02 08:00,4432.172,8.128
2019-01-02 08:00,2019-01-02 09:00,4037.768,7.783
2019-01-02 09:00,2019-01-02 10:00,3646.280,7.457
2019-01-02 10:00,2019-01-02 11:00,4142.969,7.873
2019-01-02 11:00,2019-01-02 12:00,4675.576,8.342
2019-01-02 12:00,2019-01-02 13:00,4930.546,8.568
2019-01-02 13:00,2019-01-02 14:00,4891.325,8.531
2019-01-02 14:00,2019-01-02 15:00,4663.093,8.324
2019-01-02 15:00,2019-01-02 16:00,4847.471,8.497
2019-01-02 16:00,2019-01-02 17:00,4827.772,8.481
2019-01-02 17:00,2019-01-02 18:00,4484.292,8.168
2019-01-02 18:00,2019-01-02 19:00,4072.920,7.820
2019-01-02 19:00,2019-01-02 20:00,3587.817,7.397
2019-01-02 20:00,2019-01-02 21:00,3095.484,6.982
2019-01-02 21:00,2019-01-02 22:00,2686.720,6.615
2019-01-02 22:00,2019-01-02 23:00,2282.252,6.231
2019-01-02 23:00,2019-01-03 00:00,1975.984,5.932
2019-01-03 00:00,2019-01-03 01:00,1764.765,5.698
2019-01-03 01:00,2019-01-03 02:00,1577.431,5.492
2019-01-03 02:00,2019-01-03 03:00,1397.681,5.271
2019-01-03 03:00,2019-01-03 04:00,1161.538,4.958
2019-01-03 04:00,2019-01-03 05:00,918.595,4.592
2019-01-03 05:00,2019-01-03 06:00,797.180,4.378
2019-01-03 06:00,2019-01-03 07:00,800.221,4.383
2019-01-03 07:00,2019-01-03 08:00,909.549,4.577
2019-01-03 08:00,2019-01-03 09:00,836.701,4.455
2019-01-03 09:00,2019-01-03 10:00,748.712,4.297
2019-01-03 10:00,2019-01-03 11:00,892.593,4.542
2019-01-03 11:00,2019-01-03 12:00,1187.190,4.994
2019-01-03 12:00,2019-01-03 13:00,1474.757,5.368
2019-01-03 13:00,2019-01-03 14:00,1512.272,5.414
2019-01-03 14:00,2019-01-03 15:00,1833.749,5.776
2019-01-03 15:00,2019-01-03 16:00,2485.336,6.432
2019-01-03 16:00,2019-01-03 17:00,2888.045,6.801
2019-01-03 17:00,2019-01-03 18:00,2891.456,6.804
2019-01-03 18:00,2019-01-03 19:00,2757.551,6.682
2019-01-03 19:00,2019-01-03 20:00,2427.073,6.372
2019-01-03 20:00,2019-01-03 21:00,1915.242,5.869
2019-01-03 21:00,2019-01-03 22:00,1616.323,5.529
2019-01-03 22:00,2019-01-03 23:00,1456.110,5.345
2019-01-03 23:00,2019-01-04 00:00,1246.350,5.066
2019-01-04 00:00,2019-01-04 01:00,1055.329,4.795
2019-01-04 01:00,2019-01-04 02:00,802.800,4.387
2019-01-04 02:00,2019-01-04 03:00,675.127,4.161
2019-01-04 03:00,2019-01-04 04:00,665.576,4.133
2019-01-04 04:00,2019-01-04 05:00,713.076,4.234
2019-01-04 05:00,2019-01-04 06:00,777.504,4.352
2019-01-04 06:00,2019-01-04 07:00,860.158,4.495
2019-01-04 07:00,2019-01-04 08:00,837.296,4.456
2019-01-04 08:00,2019-01-04 09:00,672.618,4.147
2019-01-04 09:00,2019-01-04 10:00,571.054,3.944
2019-01-04 10:00,2019-01-04 11:00,614.667,4.040
2019-01-04 11:00,2019-01-04 12:00,864.706,4.503
2019-01-04 12:00,2019-01-04 13:00,1181.899,4.987
2019-01-04 13:00,2019-01-04 14:00,1482.239,5.378
2019-01-04 14:00,2019-01-04 15:00,1938.350,5.893
2019-01-04 15:00,2019-01-04 16:00,2522.988,6.464
2019-01-04 16:00,2019-01-04 17:00,2966.934,6.866
2019-01-04 17:00,2019-01-04 18:00,3225.887,7.094
2019-01-04 18:00,2019-01-04 19:00,3345.437,7.199
2019-01-04 19:00,2019-01-04 20:00,3298.628,7.152
2019-01-04 20:00,2019-01-04 21:00,3268.098,7.132
2019-01-04 21:00,2019-01-04 22:00,3477.333,7.313
2019-01-04 22:00,2019-01-04 23:00,3225.979,7.094
2019-01-04 23:00,2019-01-05 00:00,2799.960,6.721
2019-01-05 00:00,2019-01-05 01:00,2708.625,6.640
2019-01-05 01:00,2019-01-05 02:00,2621.249,6.561
2019-01-05 02:00,2019-01-05 03:00,2752.244,6.677
2019-01-05 03:00,2019-01-05 04:00,2957.232,6.861
2019-01-05 04:00,2019-01-05 05:00,3174.487,7.053
2019-01-05 05:00,2019-01-05 06:00,3331.337,7.184
2019-01-05 06:00,2019-01-05 07:00,3555.947,7.375
2019-01-05 07:00,2019-01-05 08:00,3769.065,7.561
2019-01-05 08:00,2019-01-05 09:00,3954.840,7.719
2019-01-05 09:00,2019-01-05 10:00,4203.942,7.932
2019-01-05 10:00,2019-01-05 11:00,4328.684,8.035
2019-01-05 11:00,2019-01-05 12:00,4792.439,8.449
2019-01-05 12:00,2019-01-05 13:00,5020.652,8.660
2019-01-05 13:00,2019-01-05 14:00,4969.056,8.612
2019-01-05 14:00,2019-01-05 15:00,5137.088,8.770
2019-01-05 15:00,2019-01-05 16:00,5241.278,8.870
2019-01-05 16:00,2019-01-05 17:00,5084.735,8.710
2019-01-05 17:00,2019-01-05 18:00,5068.797,8.703
2019-01-05 18:00,2019-01-05 19:00,5189.108,8.820
2019-01-05 19:00,2019-01-05 20:00,5063.426,8.694
2019-01-05 20:00,2019-01-05 21:00,4986.256,8.628
2019-01-05 21:00,2019-01-05 22:00,4980.487,8.623
2019-01-05 22:00,2019-01-05 23:00,4945.627,8.580
2019-01-05 23:00,2019-01-06 00:00,4913.109,8.550
2019-01-06 00:00,2019-01-06 01:00,4678.920,8.344
2019-01-06 01:00,2019-01-06 02:00,4533.160,8.219
2019-01-06 02:00,2019-01-06 03:00,4515.717,8.203
2019-01-06 03:00,2019-01-06 04:00,4202.920,7.931
2019-01-06 04:00,2019-01-06 05:00,3720.442,7.511
2019-01-06 05:00,2019-01-06 06:00,3345.268,7.194
2019-01-06 06:00,2019-01-06 07:00,3146.874,7.029
2019-01-06 07:00,2019-01-06 08:00,2999.598,6.900
2019-01-06 08:00,2019-01-06 09:00,2675.115,6.608
2019-01-06 09:00,2019-01-06 10:00,2349.951,6.306
2019-01-06 10:00,2019-01-06 11:00,2435.845,6.388
2019-01-06 11:00,2019-01-06 12:00,2667.815,6.597
2019-01-06 12:00,2019-01-06 13:00,2599.049,6.540
2019-01-06 13:00,2019-01-06 14:00,2516.496,6.457
2019-01-06 14:00,2019-01-06 15:00,2653.058,6.585
2019-01-06 15:00,2019-01-06 16:00,3056.518,6.947
2019-01-06 16:00,2019-01-06 17:00,3172.712,7.051
2019-01-06 17:00,2019-01-06 18:00,2897.220,6.810
2019-01-06 18:00,2019-01-06 19:00,2642.640,6.575
2019-01-06 19:00,2019-01-06 20:00,2447.734,6.399
2019-01-06 20:00,2019-01-06 21:00,2283.355,6.232
2019-01-06 21:00,2019-01-06 22:00,2098.307,6.049
2019-01-06 22:00,2019-01-06 23:00,1945.814,5.901
2019-01-06 23:00,2019-01-07 00:00,1884.092,5.835
2019-01-07 00:00,2019-01-07 01:00,1761.749,5.696
2019-01-07 01:00,2019-01-07 02:00,1535.575,5.441
2019-01-07 02:00,2019-01-07 03:00,1321.473,5.175
2019-01-07 03:00,2019-01-07 04:00,1269.994,5.107
2019-01-07 04:00,2019-01-07 05:00,1348.144,5.201
2019-01-07 05:00,2019-01-07 06:00,1327.536,5.183
2019-01-07 06:00,2019-01-07 07:00,1234.255,5.049
2019-01-07 07:00,2019-01-07 08:00,1244.953,5.064
2019-01-07 08:00,2019-01-07 09:00,1114.655,4.891
2019-01-07 09:00,2019-01-07 10:00,816.105,4.419
2019-01-07 10:00,2019-01-07 11:00,892.856,4.548
2019-01-07 11:00,2019-01-07 12:00,967.327,4.665
2019-01-07 12:00,2019-01-07 13:00,997.538,4.717
2019-01-07 13:00,2019-01-07 14:00,1055.238,4.795
2019-01-07 14:00,2019-01-07 15:00,1431.499,5.306
2019-01-07 15:00,2019-01-07 16:00,2221.384,6.180
