timestep;Wetterdaten.Mittlere Aussentemperatur (Tamb) [°C];Wetterdaten.Normale Direktstrahlung  (Bn) [W/m²];Wetterdaten.Diffusstrahlung, Jahressumme (Dh) [W/m²];Wetterdaten.Globalstrahlung, Jahressumme (Gh) [W/m²];Wetterdaten.Wärmestrahlung (Lh) [W/m²];Wetterdaten.Windgeschwindigkeit (Vwnd) [m/s];Kollektor.Mitteltemperatur [°C];Kollektor.Durchsatz [l/h];Kollektor.Wärmeverlust (Qhl) [W];Kollektor.Einstrahlung in Kollektorebene (Esol) [W];Kollektor.Kollektorfeldertrag (Qsol) [W];Kollektor.Betriebstemperatur [°C];Kollektor.Austrittstemperatur [°C];Rohr 6.Temperatur [°C];Rohr 6.Wärmekapazität des Fluids [J/(l*K)];Rohr 16.Temperatur [°C];Rohr 16.Wärmekapazität des Fluids [J/(l*K)];Kollektor.Diffusstrahlung nach IAM [W];Kollektor.Globalstrahlung nach IAM  [W];Kollektor.Direktstrahlung nach IAM [W];Kollektor.Einstrahlung auf Kollektor [W/m²]
0;-2,1;0,0;0,0;0,0;246,0;1,1;8,314466666666666;66,6;192,25290833333332;0,0;-192,25290833333332;8,314466666666666;7,5337749999999994;10,0;4200,855;7,533783333333332;4200,1738;0,0;0,0;0,0;0,0
3600;-3,3;0,0;0,0;0,0;240,0;0,8;8,212025;66,6;208,13992499999995;0,0;-208,13992499999995;8,212025;7,346225;10,0;4200,855;7,346275;4200,13565;0,0;0,0;0,0;0,0
7200;-4,1;0,0;0,0;0,0;228,0;0,4;8,129591666666665;66,6;213,96489166666666;0,0;-213,96489166666666;8,129591666666665;7,256374999999999;10,0;4200,855;7,256374999999999;4200,13565;0,0;0,0;0,0;0,0
10800;-4,1;0,0;0,0;0,0;234,0;0,3;8,116308333333333;66,6;212,80706666666666;0,0;-212,80706666666666;8,116308333333333;7,260491666666666;10,0;4200,7182;7,260491666666666;4200,1280166666675;0,0;0,0;0,0;0,0
14400;-4,0;0,0;0,0;0,0;259,0;0,4;8,129891666666667;66,6;209,90953333333334;0,0;-209,90953333333334;8,129891666666667;7,292225;10,0;4200,672600000001;7,292433333333334;4200,1280166666675;0,0;0,0;0,0;0,0
18000;-3,7;0,0;0,0;0,0;279,0;0,4;8,153416666666667;66,6;208,2629083333333;0,0;-208,2629083333333;8,153416666666667;7,317875;10,0;4200,672600000001;7,317924999999999;4200,13565;0,0;0,0;0,0;0,0
21600;-3,7;0,0;0,0;0,0;286,0;1,1;8,152058333333335;66,6;208,52739166666666;0,0;-208,52739166666666;8,152058333333335;7,314441666666667;10,0;4200,8094;7,314491666666667;4200,13565;0,0;0,0;0,0;0,0
25200;-3,7;0,0;0,0;0,0;269,0;0,3;8,15175;66,6;210,03974166666663;0,0;-210,03974166666663;8,15175;7,301699999999999;10,0;4200,855;7,30175;4200,13565;0,0;0,0;0,0;0,0
28800;-4,0;0,0;8,0;8,0;252,0;0,9;8,260833333333334;66,6;217,0125166666666;32,192;-184,82051666666666;8,260833333333334;7,5728583333333335;10,0;4200,855;7,572891666666668;4200,17;29,209;29,209;0,0;6,579000000000001
32400;-2,9;13,355;50,0;52,0;264,0;0,7;9,541225;66,59999999999998;287,09274166666665;274,2300000000001;-12,862158333333335;9,541225;9,491616666666669;10,0;4200,855;9,491750000000001;4200,607916666667;216,712;252,42800000000003;35,715;56,853
36000;-1,8;231,195;102,0;160,0;268,0;0,7;14,536491666666665;66,59999999999998;649,1116583333333;1460,419;811,3068583333334;14,536491666666665;19,074891666666666;10,0;4200,7638;19,074975000000002;4202,7985499999995;617,647;1404,8259999999998;787,179;316,402
39600;-0,3;118,682;132,0;169,0;263,0;0,7;14,894925;66,59999999999998;580,3016166666666;1209,851;629,5493166666666;14,894925;18,339166666666667;10,0;4200,8094;18,3393;4202,676383333333;703,338;1158,355;455,0160000000001;260,891
43200;0,6;148,255;142,0;191,0;266,0;1,0;15,494925;66,59999999999998;624,876525;1401,466;776,5892416666667;15,494925;19,77405;10,0;4200,855;19,774183333333333;4202,9357666666665;759,3859999999999;1347,9480000000003;588,562;303,59200000000004
46800;0,8;42,461;116,0;129,0;271,0;0,9;13,117608333333333;66,59999999999998;422,0593083333333;737,4430000000001;315,3835583333333;13,117608333333333;14,8054;10,0;4200,855;14,805266666666668;4201,82915;532,617;693,704;161,088;156,24000000000004
50400;1,0;8,335;77,0;79,0;282,0;1,2;11,011691666666666;66,59999999999998;284,35318333333333;359,102;74,74850833333333;11,011691666666666;11,396125000000001;10,0;4200,855;11,396191666666667;4201,103;301,984;329,735;27,75;74,265
54000;0,8;29,983;46,0;50,0;289,0;1,0;10,4119;66,59999999999998;255,124475;301,3879999999999;46,263033333333325;10,4119;10,661991666666665;10,0;4200,855;10,6622;4200,855;201,378;277,54599999999994;76,168;62,51
57600;0,9;0,0;7,0;7,0;296,0;1,0;9,346041666666666;66,59999999999998;159,442675;28,164;-131,27814999999998;9,346041666666666;8,6074;10,0;4200,7486;8,607575;4200,420883333333;25,554;25,554;0,0;5,755
61200;0,6;0,0;0,0;0,0;307,0;1,0;8,851541666666668;66,6;146,33295833333335;0,0;-146,33295833333335;8,851541666666668;8,183333333333332;10,0;4200,672600000001;8,183591666666667;4200,3638;0,0;0,0;0,0;0,0
64800;0,3;0,0;0,0;0,0;308,0;0,3;8,729683333333334;66,6;146,46951666666666;0,0;-146,46951666666666;8,729683333333334;8,126375000000001;10,0;4200,672600000001;8,126425000000001;4200,3562;0,0;0,0;0,0;0,0
68400;0,3;0,0;0,0;0,0;308,0;1,0;8,718933333333334;66,6;143,47165833333335;0,0;-143,47165833333335;8,718933333333334;8,147833333333333;10,0;4200,8094;8,147683333333333;4200,3562;0,0;0,0;0,0;0,0
72000;0,7;0,0;0,0;0,0;308,0;0,3;8,748525;66,6;141,15176666666667;0,0;-141,15176666666667;8,748525;8,182466666666667;10,0;4200,855;8,182466666666667;4200,3638;0,0;0,0;0,0;0,0
75600;0,5;0,0;0,0;0,0;295,0;1,1;8,72519166666667;66,6;145,6834166666667;0,0;-145,6834166666667;8,72519166666667;8,131525;10,0;4200,855;8,131558333333334;4200,3562;0,0;0,0;0,0;0,0
79200;0,3;0,0;0,0;0,0;291,0;1,2;8,704325;66,6;146,87536666666665;0,0;-146,87536666666665;8,704325;8,111275000000001;10,0;4200,8094;8,111283333333335;4200,3562;0,0;0,0;0,0;0,0
82800;0,5;0,0;0,0;0,0;293,0;2,0;8,714900000000002;66,6;143,94623333333334;0,0;-143,94623333333334;8,714900000000002;8,141575;10,0;4200,672600000001;8,141774999999999;4200,3562;0,0;0,0;0,0;0,0
86400;0,7;0,0;0,0;0,0;302,0;1,4;8,743500000000001;66,6;140,61475833333333;0,0;-140,61475833333333;8,743500000000001;8,184433333333333;10,0;4200,672600000001;8,184433333333333;4200,3562;0,0;0,0;0,0;0,0
90000;0,8;0,0;0,0;0,0;303,0;1,3;8,776625;66,6;135,38460833333332;0,0;-135,38460833333332;8,776625;8,245383333333333;10,0;4200,7182;8,245383333333333;4200,3638;0,0;0,0;0,0;0,0
93600;1,4;0,0;0,0;0,0;303,0;1,2;8,830166666666667;66,6;130,4429;0,0;-130,4429;8,830166666666667;8,314166666666667;10,0;4200,855;8,314366666666666;4200,386600000001;0,0;0,0;0,0;0,0
97200;1,4;0,0;0,0;0,0;306,0;1,7;8,849058333333334;66,6;128,46305833333332;0,0;-128,46305833333332;8,849058333333334;8,339558333333335;10,0;4200,855;8,339758333333334;4200,398;0,0;0,0;0,0;0,0
100800;1,7;0,0;0,0;0,0;298,0;0,9;8,876883333333332;66,6;126,57364166666666;0,0;-126,57364166666666;8,876883333333332;8,369908333333333;10,0;4200,855;8,369958333333335;4200,398;0,0;0,0;0,0;0,0
104400;1,5;0,0;0,0;0,0;298,0;1,2;8,856025;66,6;131,02665;0,0;-131,02665;8,856025;8,321050000000001;10,0;4200,763800000001;8,321050000000001;4200,398;0,0;0,0;0,0;0,0
108000;1,3;0,0;0,0;0,0;304,0;2,0;8,825658333333335;66,6;133,85990833333335;0,0;-133,85990833333335;8,825658333333335;8,281491666666666;10,0;4200,672600000001;8,281691666666667;4200,3638;0,0;0,0;0,0;0,0
111600;1,4;0,0;0,0;0,0;303,0;3,0;8,8451;66,6;126,81348333333331;0,0;-126,81348333333331;8,8451;8,351825000000002;10,0;4200,672600000001;8,351875000000001;4200,398;0,0;0,0;0,0;0,0
115200;2,3;0,0;10,0;10,0;298,0;2,3;9,067366666666667;66,6;131,7018833333333;40,187999999999995;-91,51374166666666;9,067366666666667;8,766183333333334;10,0;4200,763800000001;8,766183333333334;4200,398;36,474;36,474;0,0;8,215
