timestep;amb_temp;wind_speed;beam_irr;diffuse_irr;long_wave_irr
0;-2.1;1.1;0;0;246
3600;-3.3;0.8;0;0;240
7200;-4.1;0.4;0;0;228
10800;-4.1;0.3;0;0;234
14400;-4;0.4;0;0;259
18000;-3.7;0.4;0;0;279
21600;-3.7;1.1;0;0;286
25200;-3.7;0.3;0;0;269
28800;-4;0.9;0;8;252
32400;-2.9;0.7;2;50;264
36000;-1.8;0.7;58;102;268
39600;-0.3;0.7;37;132;263
43200;0.6;1;49;142;266
46800;0.8;0.9;13;116;271
50400;1;1.2;2;77;282
54000;0.8;1;4;46;289
57600;0.9;1;0;7;296
61200;0.6;1;0;0;307
64800;0.3;0.3;0;0;308
68400;0.3;1;0;0;308
72000;0.7;0.3;0;0;308
75600;0.5;1.1;0;0;295
79200;0.3;1.2;0;0;291
82800;0.5;2;0;0;293
86400;0.7;1.4;0;0;302
90000;0.8;1.3;0;0;303
93600;1.4;1.2;0;0;303
97200;1.4;1.7;0;0;306
100800;1.7;0.9;0;0;298
104400;1.5;1.2;0;0;298
108000;1.3;2;0;0;304
111600;1.4;3;0;0;303
115200;2.3;2.3;0;10;298
118800;2.3;2;0;20;305
122400;2.9;1.8;0;20;312
126000;3.3;1.5;0;38;312
129600;3.7;2.5;0;36;314
133200;5;2.1;0;76;308
136800;4.9;1.5;0;31;311
140400;4.8;2.2;0;31;320
144000;4.9;1.3;0;8;320
147600;4.9;0.5;0;0;320
151200;3.8;0.5;0;0;310
154800;3.8;1.1;0;0;308
158400;3.9;2.2;0;0;308
162000;3.5;1.2;0;0;288
165600;3.2;2.1;0;0;282
169200;3;1.5;0;0;294
172800;3.8;4.3;0;0;295
176400;4.5;2.3;0;0;299
180000;4.6;1.8;0;0;313
183600;4.7;2.4;0;0;313
187200;4.5;2.2;0;0;305
190800;3.9;2.5;0;0;303
194400;3.9;2.5;0;0;290
198000;3.2;2.5;0;0;263
201600;4.8;3.8;9;10;252
205200;5.5;3.8;59;35;264
208800;7.1;3.2;171;35;268
212400;7.5;4.6;195;47;262
216000;7;3.2;47;121;276
219600;7.2;2.5;52;105;286
223200;6.7;3.1;24;82;284
226800;6.7;1.4;27;42;281
230400;5.3;1.8;0;8;274
234000;4.5;1.1;0;0;260
237600;3.8;1.1;0;0;247
241200;3.4;1.2;0;0;251
244800;3.6;2;0;0;262
248400;2.5;1.9;0;0;251
252000;2.2;1.8;0;0;241
255600;1.8;1.1;0;0;247
259200;1.4;1.1;0;0;255
262800;0.9;1.2;0;0;252
266400;1.3;1;0;0;235
270000;0.2;1;0;0;260
273600;-0.4;1;0;0;295
277200;0;2.4;0;0;290
280800;0.2;2.7;0;0;286
284400;0.7;1.7;0;0;295
288000;0.8;1.1;0;8;297
291600;1.1;1;0;45;299
295200;1.9;0.4;18;111;283
298800;2.4;1.3;6;126;259
302400;2.6;1.7;0;60;288
306000;2.7;2.4;0;58;314
309600;3.3;2.8;0;50;308
313200;3.4;4.1;0;20;307
316800;4;1.9;0;0;307
320400;4.2;2.6;0;0;301
324000;5.7;4.7;0;0;305
327600;5.9;3.4;0;0;306
331200;5.5;2.6;0;0;310
334800;5.1;1.8;0;0;308
338400;5;3.9;0;0;293
342000;5.5;2.5;0;0;285
345600;5.3;2.1;0;0;278
349200;4.1;2;0;0;259
352800;3.5;0.8;0;0;232
356400;3;0.9;0;0;226
360000;2.9;0.5;0;0;244
363600;2.8;0.9;0;0;269
367200;2.7;0.7;0;0;288
370800;2.8;1.7;0;0;297
374400;2.7;2;0;5;302
378000;3.4;2.2;0;23;301
381600;3.6;1.3;0;35;305
385200;4.1;1.9;0;49;308
388800;4.3;1.1;0;63;302
392400;4.6;1.7;0;76;302
396000;4.6;0.9;0;54;314
399600;4.6;1.4;0;36;327
403200;4.5;1.5;0;4;329
406800;4.4;1.3;0;0;317
410400;5.5;1.6;0;0;309
414000;5.1;0.9;0;0;322
417600;5.9;2.3;0;0;334
421200;6.2;0.8;0;0;336
424800;6.1;0.6;0;0;335
428400;6;0.2;0;0;334
432000;7.3;3.9;0;0;335
435600;8.3;4.3;0;0;338
439200;8;1.8;0;0;339
442800;8.2;2.4;0;0;337
446400;8.1;3.2;0;0;336
450000;8.2;3.9;0;0;334
453600;8.2;3.7;0;0;332
457200;8.2;3.5;0;0;330
460800;8.4;2.7;0;6;329
464400;8.7;4.1;0;27;329
468000;8.4;3.8;0;45;323
471600;7.5;3.9;0;52;314
475200;7.1;3.8;0;37;314
478800;6.3;2.9;0;32;316
482400;6.1;3.8;0;32;314
486000;5.2;2.9;0;36;314
489600;4.9;2.2;0;5;312
493200;4.7;1.4;0;0;311
496800;4.5;2.1;0;0;311
500400;4.2;2;0;0;312
504000;3.7;1.9;0;0;311
507600;3.7;1.8;0;0;307
511200;3.5;1.4;0;0;300
514800;3.5;1.1;0;0;308
518400;3.2;1.7;0;0;314
522000;2.9;1.9;0;0;313
525600;2.3;1.1;0;0;312
529200;2.1;0.9;0;0;312
532800;1.8;1.1;0;0;311
536400;1.6;1.2;0;0;305
540000;1.4;1.1;0;0;297
543600;1.1;1.1;0;0;296
547200;1;1.1;0;9;295
550800;0.9;0.3;2;55;302
554400;0.9;0.2;0;66;296
558000;0.9;1;0;72;296
561600;1.1;0.4;0;76;302
565200;1.3;1.1;0;49;303
568800;1.4;1.1;0;42;309
572400;1.5;1.1;0;24;311
576000;1.7;1;0;3;305
579600;1.7;0.9;0;0;299
583200;1.7;0.8;0;0;296
586800;1.7;1.1;0;0;300
590400;1.7;0;0;0;303
594000;1.6;0;0;0;301
597600;1.7;0.2;0;0;301
601200;1.8;0.1;0;0;301
604800;1.8;0;0;0;295
608400;1.9;1;0;0;295
612000;1.8;0.9;0;0;302
615600;1.6;0.2;0;0;302
619200;1.6;0.3;0;0;302
622800;1.5;0.1;0;0;304
626400;1.4;0.8;0;0;298
630000;1.3;0.1;0;0;292
633600;1.3;0;0;8;294
637200;1.4;0.5;6;48;301
640800;1.6;0;0;62;302
644400;1.7;0.6;0;88;296
648000;2.1;0.8;0;77;296
651600;2.3;0.9;2;92;289
655200;2.7;1.7;0;62;291
658800;2.8;0.9;0;30;307
662400;2.8;0.9;0;4;313
666000;2.7;0.9;0;0;312
669600;2.2;0.9;0;0;305
673200;1.9;1.1;0;0;298
676800;1.9;0.9;0;0;297
680400;1.8;1;0;0;296
684000;2.1;1.1;0;0;301
687600;2.6;2.6;0;0;302
691200;2.3;2.3;0;0;295
694800;2;1.8;0;0;293
698400;1.7;1.8;0;0;286
702000;1.5;1.8;0;0;281
705600;1;1.3;0;0;275
709200;0.3;2.1;0;0;268
712800;0.3;2.1;0;0;267
716400;0.1;2.2;0;0;271
720000;0.6;1.5;0;9;281
723600;0.8;1.3;50;53;277
727200;2.4;1.9;171;58;252
730800;4.3;1.4;228;66;231
734400;5;2;250;65;223
738000;5.7;1.9;229;61;223
741600;4.8;1.9;169;52;228
745200;4.2;1;87;39;236
748800;2.8;1;11;14;254
