Koordinatensystem : Lambert konform konisch
Rechtswert        : 3938500 Meter
Hochwert          : 2337500 Meter
Hoehenlage        : 429 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3938500 2337500  1  1  1  -2.1  964 156  1.1 4  3.3  94    0    0 246 -291  2
3938500 2337500  1  1  2  -3.3  964 102  0.8 4  3.0  93    0    0 240 -292  2
3938500 2337500  1  1  3  -4.1  963  61  0.4 5  2.8  93    0    0 228 -296  2
3938500 2337500  1  1  4  -4.1  962  68  0.3 5  2.8  94    0    0 234 -298  2
3938500 2337500  1  1  5  -4.0  963  71  0.4 6  2.8  95    0    0 259 -297  2
3938500 2337500  1  1  6  -3.7  961  72  0.4 8  2.9  95    0    0 279 -298  2
3938500 2337500  1  1  7  -3.7  961  76  1.1 8  2.8  93    0    0 286 -300  2
3938500 2337500  1  1  8  -3.7  960 287  0.3 5  2.8  92    0    0 269 -301  2
3938500 2337500  1  1  9  -4.0  960 283  0.9 5  2.7  91    0    8 252 -304  2
3938500 2337500  1  1 10  -2.9  960 270  0.7 7  2.8  91    2   50 264 -308  2
3938500 2337500  1  1 11  -1.8  959 294  0.7 5  3.1  91   58  102 268 -311  2
3938500 2337500  1  1 12  -0.3  959 281  0.7 5  3.2  85   37  132 263 -314  2
3938500 2337500  1  1 13   0.6  959 296  1.0 5  3.2  79   49  142 266 -316  2
3938500 2337500  1  1 14   0.8  958 292  0.9 6  3.2  76   13  116 271 -317  2
3938500 2337500  1  1 15   1.0  958 292  1.2 7  3.2  75    2   77 282 -317  2
3938500 2337500  1  1 16   0.8  957 313  1.0 7  3.3  76    4   46 289 -318  2
3938500 2337500  1  1 17   0.9  957 295  1.0 8  3.3  76    0    7 296 -318  2
3938500 2337500  1  1 18   0.6  957 237  1.0 8  3.3  78    0    0 307 -318  2
3938500 2337500  1  1 19   0.3  957 272  0.3 8  3.4  82    0    0 308 -318  2
3938500 2337500  1  1 20   0.3  957 328  1.0 8  3.5  84    0    0 308 -318  2
3938500 2337500  1  1 21   0.7  956 151  0.3 8  3.5  84    0    0 308 -318  2
3938500 2337500  1  1 22   0.5  956 125  1.1 7  3.6  86    0    0 295 -318  2
3938500 2337500  1  1 23   0.3  955 198  1.2 7  3.7  88    0    0 291 -318  2
3938500 2337500  1  1 24   0.5  956 130  2.0 7  3.8  91    0    0 293 -318  2
3938500 2337500  1  2  1   0.7  956 136  1.4 8  3.9  92    0    0 302 -318  2
3938500 2337500  1  2  2   0.8  956  78  1.3 7  4.1  95    0    0 303 -318  2
3938500 2337500  1  2  3   1.4  956  83  1.2 8  4.3  99    0    0 303 -320  2
3938500 2337500  1  2  4   1.4  956   9  1.7 7  4.4  99    0    0 306 -321  2
3938500 2337500  1  2  5   1.7  955 230  0.9 7  4.5 100    0    0 298 -322  2
3938500 2337500  1  2  6   1.5  954 303  1.2 7  4.5 100    0    0 298 -322  2
3938500 2337500  1  2  7   1.3  953  87  2.0 8  4.4  99    0    0 304 -321  2
3938500 2337500  1  2  8   1.4  953 246  3.0 7  4.3  98    0    0 303 -321  2
3938500 2337500  1  2  9   2.3  953 221  2.3 7  4.4  96    0   10 298 -320  2
