timestep;val_ambient_temperature;val_beam_irr_normal;val_beam_irr_hor;val_diffuse_irr_hor;val_global_irr_hor;val_long_wave_irr;val_wind_speed
0;-2.2;0;0.0;0.0;0.0;245.745;1.087233333
900;-2.4;0;0.0;0.0;0.0;244.26;1.013
1800;-2.7;0;0.0;0.0;0.0;242.76;0.938
2700;-3;0;0.0;0.0;0.0;241.26;0.863
3600;-3.3;0;0.0;0.0;0.0;239.49;0.7827
4500;-3.5;0;0.0;0.0;0.0;236.52;0.684
5400;-3.7;0;0.0;0.0;0.0;233.52;0.584
6300;-3.9;0;0.0;0.0;0.0;230.52;0.484
7200;-4.1;0;0.0;0.0;0.0;228.255;0.395433333
8100;-4.1;0;0.0;0.0;0.0;229.74;0.371
9000;-4.1;0;0.0;0.0;0.0;231.24;0.346
9900;-4.1;0;0.0;0.0;0.0;232.74;0.321
10800;-4.1;0;0.0;0.0;0.0;235.0628;0.304566667
11700;-4.1;0;0.0;0.0;0.0;241.25;0.329
12600;-4;0;0.0;0.0;0.0;247.5;0.354
13500;-4;0;0.0;0.0;0.0;253.75;0.379
14400;-4;0;0.0;0.0;0.0;259.8497;0.4
15300;-3.9;0;0.0;0.0;0.0;264.8;0.4
16200;-3.8;0;0.0;0.0;0.0;269.8;0.4
17100;-3.8;0;0.0;0.0;0.0;274.8;0.4
18000;-3.7;0;0.0;0.0;0.0;279.2978;0.430066667
18900;-3.7;0;0.0;0.0;0.0;281.03;0.603
19800;-3.7;0;0.0;0.0;0.0;282.78;0.778
20700;-3.7;0;0.0;0.0;0.0;284.53;0.953
21600;-3.7;0;0.0;0.0;0.0;285.2778;1.0663
22500;-3.7;0;0.0;0.0;0.0;281.07;0.868
23400;-3.7;0;0.0;0.0;0.0;276.82;0.668
24300;-3.7;0;0.0;0.0;0.0;272.57;0.468
25200;-3.7;0;0.0;0.0;0.0;268.2778;0.3255
26100;-3.8;0;0.0;0.0;0.0;264.07;0.474
27000;-3.9;0;0.0;0.0;0.0;259.82;0.624
27900;-3.9;0;0.0;0.0;0.0;255.57;0.774
28800;-4;0;0.0;8.0;8.0;252.51;0.8918
29700;-3.7;0;0.0;8.0;8.0;255.48;0.842
30600;-3.4;0;0.0;8.0;8.0;258.48;0.792
31500;-3.1;0;0.0;8.0;8.0;261.48;0.742
32400;-2.8;24.7;2.0;50.0;52.0;264.3833667;0.7
33300;-2.5;24.7;2.0;50.0;52.0;265.3733333;0.7
34200;-2.2;24.7;2.0;50.0;52.0;266.3733333;0.7
35100;-2;24.7;2.0;50.0;52.0;267.3733333;0.7
36000;-1.7;309;58.0;102.0;160.0;267.5208667;0.7
36900;-1.3;309;58.0;102.0;160.0;266.2401778;0.7
37800;-0.9;309;58.0;102.0;160.0;264.9901778;0.7
