timestep;val_ambient_temperature;val_beam_irr_normal;val_beam_irr_hor;val_diffuse_irr_hor;val_global_irr_hor;val_long_wave_irr;val_wind_speed;val_beam_irr_in_plane
0;-2.1;0;0;0;0;246;1.1;0.0
3600;-3.3;0;0;0;0;240;0.8;0.0
7200;-4.1;0;0;0;0;228;0.4;0.0
10800;-4.1;0;0;0;0;234;0.3;0.0
14400;-4;0;0;0;0;259;0.4;0.0
18000;-3.7;0;0;0;0;279;0.4;0.0
21600;-3.7;0;0;0;0;286;1.1;0.0
25200;-3.7;0;0;0;0;269;0.3;0.0
28800;-4;0;0;8;8;252;0.9;0.1
32400;-2.9;13.355;2;50;52;264;0.7;15.9
36000;-1.8;231.195;58;102;160;268;0.7;225.0
39600;-0.3;118.682;37;132;169;263;0.7;145.8
43200;0.6;148.255;49;142;191;266;1;178.3
46800;0.8;42.461;13;116;129;271;0.9;58.6
50400;1;8.335;2;77;79;282;1.2;11.0
54000;0.8;29.983;4;46;50;289;1;25.1
57600;0.9;0;0;7;7;296;1;0.0
61200;0.6;0;0;0;0;307;1;0.0
64800;0.3;0;0;0;0;308;0.3;0.0
68400;0.3;0;0;0;0;308;1;0.0
72000;0.7;0;0;0;0;308;0.3;0.0
75600;0.5;0;0;0;0;295;1.1;0.0
79200;0.3;0;0;0;0;291;1.2;0.0
82800;0.5;0;0;0;0;293;2;0.0
86400;0.7;0;0;0;0;302;1.4;0.0
90000;0.8;0;0;0;0;303;1.3;0.0
93600;1.4;0;0;0;0;303;1.2;0.0
97200;1.4;0;0;0;0;306;1.7;0.0
100800;1.7;0;0;0;0;298;0.9;0.0
104400;1.5;0;0;0;0;298;1.2;0.0
108000;1.3;0;0;0;0;304;2;0.0
111600;1.4;0;0;0;0;303;3;0.0
115200;2.3;0;0;10;10;298;2.3;0.1
118800;2.3;0;0;20;20;305;2;0.1
122400;2.9;0;0;20;20;312;1.8;0.1
126000;3.3;0;0;38;38;312;1.5;0.2
129600;3.7;0;0;36;36;314;2.5;0.2
133200;5;0;0;76;76;308;2.1;0.2
136800;4.9;0;0;31;31;311;1.5;0.2
140400;4.8;0;0;31;31;320;2.2;0.2
144000;4.9;0;0;8;8;320;1.3;0.0
147600;4.9;0;0;0;0;320;0.5;0.0
151200;3.8;0;0;0;0;310;0.5;0.0
154800;3.8;0;0;0;0;308;1.1;0.0
158400;3.9;0;0;0;0;308;2.2;0.0
162000;3.5;0;0;0;0;288;1.2;0.0
165600;3.2;0;0;0;0;282;2.1;0.0
169200;3;0;0;0;0;294;1.5;0.0
172800;3.8;0;0;0;0;295;4.3;0.0
176400;4.5;0;0;0;0;299;2.3;0.0
180000;4.6;0;0;0;0;313;1.8;0.0
183600;4.7;0;0;0;0;313;2.4;0.0
